회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원)
(주)SNT홀딩스,036530,2019/12,31735933,1266526398,0,229809615
(주)STX,011810,2011/12,993206000,1430457000,240418000,315306000
(주)STX,011810,2012/12,856988000,1484305000,108537000,182590000
(주)STX,011810,2013/12,640293000,793607000,47749000,94076000
(주)STX,011810,2014/12,728283000,893610000,148535000,207648000
(주)STX,011810,2015/12,663016000,902119000,143454000,316312000
(주)STX,011810,2016/12,441306000,486347000,139765000,226131000
(주)STX,011810,2017/12,349891000,475786000,103343000,181620000
(주)STX,011810,2018/12,297842000,422861000,89120000,129417000
(주)STX,011810,2019/12,292473000,386401000,89664000,118778000
(주)TCC스틸,002710,2011/12,163515113,183481284,76580688,79633257
(주)TCC스틸,002710,2012/12,168674581,218440703,75866000,100648536
(주)TCC스틸,002710,2013/12,150092488,220034732,62722660,117184576
(주)TCC스틸,002710,2014/12,141191905,233224033,59114758,124343812
(주)TCC스틸,002710,2015/12,202116240,240184174,45683627,48965898
(주)TCC스틸,002710,2016/12,97007914,120777516,44890754,51850499
(주)TCC스틸,002710,2017/12,101914014,120243911,48077587,52771855
(주)TCC스틸,002710,2018/12,128625665,152165969,62280830,69197191
(주)TCC스틸,002710,2019/12,121879909,148991647,67392895,72619098
(주)가비아,079940,2011/12,9245779,28837190,14450,14450
(주)가비아,079940,2012/12,9613034,31997486,92459,248459
(주)가비아,079940,2013/12,10360239,37411881,81039,93612
(주)가비아,079940,2014/12,14916105,41920706,0,0
(주)가비아,079940,2015/12,17436488,52239105,0,0
(주)가비아,079940,2016/12,12237594,60241586,0,1363738
(주)가비아,079940,2017/12,15116578,66113388,0,1675464
(주)가비아,079940,2018/12,18388749,78058272,0,1982294
(주)가비아,079940,2019/12,13602872,86880807,0,2643604
(주)강스템바이오텍,217730,2015/12,18896590,,334913,
(주)강스템바이오텍,217730,2016/12,37966496,,582808,
(주)강스템바이오텍,217730,2017/12,24316617,25246012,1725225,1725225
(주)강스템바이오텍,217730,2018/12,44071609,48992790,501972,1918575
(주)강스템바이오텍,217730,2019/12,50136013,55408095,34319,266393
(주)강원랜드,035250,2011/12,1116717650,1163791156,2245975,2245975
(주)강원랜드,035250,2012/12,1117338850,1165450728,1200611,1200611
(주)강원랜드,035250,2013/12,1032979185,1080401909,1493306,1493306
(주)강원랜드,035250,2014/12,1349601870,1371825587,1204918,1204918
(주)강원랜드,035250,2015/12,1736167993,1750420316,1621646,1621646
(주)강원랜드,035250,2016/12,1799026863,1809513458,1309513,1309513
(주)강원랜드,035250,2017/12,2155754572,2164296051,1299617,1299617
(주)강원랜드,035250,2018/12,1749493012,1759033105,1143581,1148805
(주)강원랜드,035250,2019/12,1868365557,1878191161,3631307,3636529
(주)강원에너지,114190,2011/11,47950975,,3989692,
(주)강원에너지,114190,2012/12,80491240,,3808870,
(주)강원에너지,114190,2013/12,61556228,,2086978,
(주)강원에너지,114190,2014/12,48800730,,1736909,
(주)강원에너지,114190,2015/12,58744703,62927388,1233999,1233999
(주)강원에너지,114190,2016/12,49882033,53716336,335220,335220
(주)강원에너지,114190,2017/12,66557788,68068421,361382,361382
(주)강원에너지,114190,2018/12,70097814,70556730,543737,543737
(주)강원에너지,114190,2019/12,30346449,30544232,118784,118784
(주)갤럭시아에스엠,011420,2011/12,17322791,24658098,0,20209
(주)갤럭시아에스엠,011420,2012/12,21665386,24752609,0,37487
(주)갤럭시아에스엠,011420,2013/12,15680160,19899780,0,126351
(주)갤럭시아에스엠,011420,2014/12,21910144,26742964,404356,508736
(주)갤럭시아에스엠,011420,2015/12,40480215,44426010,0,11280
(주)갤럭시아에스엠,011420,2016/12,33508731,37929417,0,0
(주)갤럭시아에스엠,011420,2017/12,25522603,28750883,0,0
(주)갤럭시아에스엠,011420,2018/12,14317048,14251248,0,0
(주)갤럭시아에스엠,011420,2019/12,13644588,13644588,0,0
(주)경농,002100,2011/12,85897543,94363834,70007203,70194121
(주)경농,002100,2012/12,88973571,142516976,69708618,102583675
(주)경농,002100,2013/12,90491612,129526582,70268926,98860077
(주)경농,002100,2014/12,92163573,139646908,69968941,98308244
(주)경농,002100,2015/12,110823037,161184139,84302523,115444315
(주)경농,002100,2016/12,113338004,156061222,89356248,115876266
(주)경농,002100,2017/12,114661596,163437464,91796107,119704437
(주)경농,002100,2018/12,124295854,169982099,91526504,120967753
(주)경농,002100,2019/12,138697201,185020093,101542875,133714688
(주)경동나비엔,009450,2011/12,109967953,129512842,41637076,60788326
(주)경동나비엔,009450,2012/12,123218302,145371681,33893618,59527947
(주)경동나비엔,009450,2013/12,104914630,134043087,37417214,71724409
(주)경동나비엔,009450,2014/12,134136648,159947056,40963230,83525372
(주)경동나비엔,009450,2015/12,129837058,158254944,39239496,87185691
(주)경동나비엔,009450,2016/12,145915928,175420277,41128987,89997026
(주)경동나비엔,009450,2017/12,175839342,230894567,57016736,110374505
(주)경동나비엔,009450,2018/12,209454208,287001959,74930222,150049770
(주)경동나비엔,009450,2019/12,214093729,274279157,66299991,138114361
(주)경동도시가스,267290,2017/12,374489353,376858740,1111165,1111165
(주)경동도시가스,267290,2018/12,441723742,444232799,1299646,1299646
(주)경동도시가스,267290,2019/12,392458231,395154174,1333402,1333402
(주)경동인베스트,012320,2011/12,563584969,610411619,837931,6238419
(주)경동인베스트,012320,2012/12,753036515,814034002,1073025,20579836
(주)경동인베스트,012320,2013/12,724069045,778164231,759346,13656418
(주)경동인베스트,012320,2014/12,631297926,766552554,1014437,18386682
(주)경동인베스트,012320,2015/12,459634757,571798491,958537,8347076
(주)경동인베스트,012320,2016/12,394847821,508994824,1016660,10949433
(주)경동인베스트,012320,2017/12,110951332,238339688,0,14232992
(주)경동인베스트,012320,2018/12,44742051,188460289,87903,30703229
(주)경동인베스트,012320,2019/12,44653640,236475693,176596,30814751
(주)경방,000050,2011/12,123787600,138673371,71422892,72996830
(주)경방,000050,2012/12,101710997,123685731,50300747,52907652
(주)경방,000050,2013/12,79482802,103410904,35601409,40216862
(주)경방,000050,2014/12,83665762,101229398,34615710,37758471
(주)경방,000050,2015/12,83760073,108093423,37595998,52862910
(주)경방,000050,2016/12,80538917,106002223,33656952,45810493
(주)경방,000050,2017/12,71472590,90254697,22476156,31921285
(주)경방,000050,2018/12,88159568,120711492,35574579,59792825
(주)경방,000050,2019/12,223798878,264861016,13959690,31308041
(주)경보제약,214390,2015/12,105108130,,49522277,
(주)경보제약,214390,2016/12,102226920,,47568951,
(주)경보제약,214390,2017/12,110638039,,47964422,
(주)경보제약,214390,2018/12,128936315,,53494316,
(주)경보제약,214390,2019/12,124176490,,62312499,
(주)경인양행,012610,2011/12,99039937,166259207,51423188,95390048
(주)경인양행,012610,2012/12,94723927,146242797,38724208,70357744
(주)경인양행,012610,2013/12,123143650,175887375,60685132,90667397
(주)경인양행,012610,2014/12,107227115,164606526,57418066,89741323
(주)경인양행,012610,2015/12,113173448,176664098,62450588,95494779
(주)경인양행,012610,2016/12,126364739,191409058,66161603,99419770
(주)경인양행,012610,2017/12,125062666,193184742,63955013,97118533
(주)경인양행,012610,2018/12,165167110,234817064,86129207,123873222
(주)경인양행,012610,2019/12,172620331,251884675,101010142,141253404
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,38542950,,3329941,
(주)고려시멘트,198440,2018/12,49955334,,4242987,
(주)고려시멘트,198440,2019/12,46591282,,6942200,
(주)고영테크놀러지,098460,2011/12,61560094,63304178,13001882,14264259
(주)고영테크놀러지,098460,2012/12,75787332,77857574,15164342,17763177
(주)고영테크놀러지,098460,2013/12,93556579,94895999,17888953,20893135
(주)고영테크놀러지,098460,2014/12,107119140,108649874,13344937,18090390
(주)고영테크놀러지,098460,2015/12,124933566,121834639,12475503,19344915
(주)고영테크놀러지,098460,2016/12,156029191,154891864,12591503,19563475
(주)고영테크놀러지,098460,2017/12,159374622,161356541,12749777,22300525
(주)고영테크놀러지,098460,2018/12,231667150,227563739,19487304,31398344
(주)고영테크놀러지,098460,2019/12,229213476,225797248,21338197,36331529
(주)골드앤에스,035290,2011/12,23165184,23477041,2865869,2865869
(주)골드앤에스,035290,2012/12,27310447,26661256,2643834,2643834
(주)골드앤에스,035290,2013/12,17985887,15792977,3133301,3133301
(주)골드앤에스,035290,2014/12,15782408,15072221,2940734,2940734
(주)골드앤에스,035290,2015/12,15122533,15364121,2329866,2329866
(주)골드앤에스,035290,2016/12,8552277,8660668,1958738,1958738
(주)골드앤에스,035290,2017/12,10974294,10831000,1057469,1057469
(주)골드앤에스,035290,2018/12,21031370,21031370,1290682,1290682
(주)골드앤에스,035290,2019/12,3910189,3910189,498013,498013
(주)골드퍼시픽,038530,2011/12,15105931,,4047225,
(주)골드퍼시픽,038530,2012/12,19029706,,6326625,
(주)골드퍼시픽,038530,2013/12,15961156,16708814,5930685,6434511
(주)골드퍼시픽,038530,2014/12,15761409,23894969,3617004,7662615
(주)골드퍼시픽,038530,2015/12,14304863,14304863,1707754,1707754
(주)골드퍼시픽,038530,2016/12,5438550,,55567,
(주)골드퍼시픽,038530,2017/12,17215160,,545070,
(주)골드퍼시픽,038530,2018/12,22006122,23990386,807960,1607114
(주)골드퍼시픽,038530,2019/12,28455147,,3548341,
(주)골프존,215000,2015/12,71290784,81295773,1816661,3108991
(주)골프존,215000,2016/12,75788492,89781733,11069054,12659642
(주)골프존,215000,2017/12,142686039,160591890,10223995,13130013
(주)골프존,215000,2018/12,134088763,145265354,7999910,10498417
(주)골프존,215000,2019/12,70491340,81730468,7433871,10880176
(주)골프존뉴딘홀딩스,121440,2011/12,249046740,276277197,5109784,5934952
(주)골프존뉴딘홀딩스,121440,2012/12,267719852,267312187,16416317,17945664
(주)골프존뉴딘홀딩스,121440,2013/12,315880696,280228001,31018699,32288277
(주)골프존뉴딘홀딩스,121440,2014/12,174950116,176744598,29629196,30575929
(주)골프존뉴딘홀딩스,121440,2015/12,45672526,97152205,0,23999862
(주)골프존뉴딘홀딩스,121440,2016/12,63048320,102314350,0,33842758
(주)골프존뉴딘홀딩스,121440,2017/12,46961353,117348020,0,40345794
(주)골프존뉴딘홀딩스,121440,2018/12,59445798,99968915,0,51388491
(주)골프존뉴딘홀딩스,121440,2019/12,30696570,125716505,0,48390470
(주)광림,014200,2011/12,49443117,,25192191,
(주)광림,014200,2012/12,53533329,,27920478,
(주)광림,014200,2013/12,66494275,,20425937,
(주)광림,014200,2014/12,53880127,149961809,23384110,76887713
(주)광림,014200,2015/12,57623469,,21555582,
(주)광림,014200,2016/12,51509785,88113464,21419610,26522759
(주)광림,014200,2017/12,255751980,78175789,16099250,21761125
(주)광림,014200,2018/12,145430179,75325405,19113946,25240021
(주)광림,014200,2019/12,82568345,114526470,19396901,27735699
(주)광명전기,017040,2011/12,50517306,70952226,8759316,12871667
(주)광명전기,017040,2012/12,59736559,80616850,13110921,16291860
(주)광명전기,017040,2013/12,64082992,78305715,12091794,14379994
(주)광명전기,017040,2014/12,76850052,93730239,14489868,17009058
(주)광명전기,017040,2015/12,63045495,83058514,10678955,12979421
(주)광명전기,017040,2016/12,62147467,72296041,8920021,9214479
(주)광명전기,017040,2017/12,64686772,72825667,9187768,9992851
(주)광명전기,017040,2018/12,59981263,69980314,10944185,11273625
(주)광명전기,017040,2019/12,77171530,87126906,7733607,7915758
(주)광무,029480,2011/12,35909129,37578091,11126987,11126987
(주)광무,029480,2012/12,16266767,23778931,5521700,7606817
(주)광무,029480,2013/12,7025489,14314055,249281,5105102
(주)광무,029480,2014/12,9475626,,230597,
(주)광무,029480,2015/12,5286509,,476695,
(주)광무,029480,2016/12,11893960,,714172,
(주)광무,029480,2017/12,14949942,,188668,
(주)광무,029480,2018/12,12582516,17301470,286303,571473
(주)광무,029480,2019/12,33233586,39307761,482591,505706
(주)광주신세계,037710,2011/12,260854658,,4949450,
(주)광주신세계,037710,2012/12,287723501,,4638113,
(주)광주신세계,037710,2013/12,25873334,,4415826,
(주)광주신세계,037710,2014/12,24561635,,4715758,
(주)광주신세계,037710,2015/12,33510638,,5113086,
(주)광주신세계,037710,2016/12,32426270,,5458472,
(주)광주신세계,037710,2017/12,33243825,,5384423,
(주)광주신세계,037710,2018/12,77504431,,2621451,
(주)광주신세계,037710,2019/12,103160925,,2790527,
(주)구영테크,053270,2011/12,40821654,58842369,5432585,15288601
(주)구영테크,053270,2012/12,48964877,66346373,7326274,18805001
(주)구영테크,053270,2013/12,36391962,53694228,7502946,17835115
(주)구영테크,053270,2014/12,40628726,57115595,7997698,21780928
(주)구영테크,053270,2015/12,41055597,58836903,6701810,19812030
(주)구영테크,053270,2016/12,39434041,54139890,7727200,19802569
(주)구영테크,053270,2017/12,52077454,64140319,8041927,20106730
(주)구영테크,053270,2018/12,43158029,60744298,10320023,31595113
(주)구영테크,053270,2019/12,37519675,70165074,9542656,34405094
(주)국동,005320,2011/12,22715717,39415062,8071551,17915375
(주)국동,005320,2012/12,17991148,39351863,8204282,16279648
(주)국동,005320,2013/12,24414342,48642552,10064438,22892835
(주)국동,005320,2014/12,36105772,60454108,8296174,22684183
(주)국동,005320,2015/12,34533151,63906154,13730846,27935227
(주)국동,005320,2016/12,51330735,83256355,15648099,31975546
(주)국동,005320,2017/12,39587109,66343830,13096071,31470800
(주)국동,005320,2018/12,46980024,83767312,11916220,32699651
(주)국동,005320,2019/12,54839302,89543258,11271338,32361904
(주)국보,001140,2011/12,39894724,41337436,675022,675022
(주)국보,001140,2012/12,36506928,39130945,743450,743450
(주)국보,001140,2013/12,35691910,37418409,748235,748235
(주)국보,001140,2014/12,30298511,31669967,665254,665254
(주)국보,001140,2015/12,25758664,26759792,413181,413181
(주)국보,001140,2016/12,24610414,26046898,376717,376717
(주)국보,001140,2017/12,17793062,18529522,405427,405427
(주)국보,001140,2018/12,11593846,11759027,354646,354646
(주)국보,001140,2019/12,17297097,70457619,338808,43435168
(주)국보디자인,066620,2011/12,57200948,59455203,0,0
(주)국보디자인,066620,2012/12,72788158,74341481,0,0
(주)국보디자인,066620,2013/12,95233392,102871707,0,0
(주)국보디자인,066620,2014/12,99218627,106963249,0,0
(주)국보디자인,066620,2015/12,96703601,107093318,0,0
(주)국보디자인,066620,2016/12,118586463,128985094,0,0
(주)국보디자인,066620,2017/12,127549210,135628503,0,0
(주)국보디자인,066620,2018/12,127871195,142346121,0,0
(주)국보디자인,066620,2019/12,169956490,194818591,0,0
(주)국순당,043650,2011/12,77580053,82405755,15071855,16285781
(주)국순당,043650,2012/12,81287902,87400525,14906288,16139074
(주)국순당,043650,2013/12,84404848,100545624,13577007,16182543
(주)국순당,043650,2014/12,86268346,99291581,11886783,15332903
(주)국순당,043650,2015/12,82905503,97221146,11788376,14869710
(주)국순당,043650,2016/12,71906088,85261001,10940127,14890028
(주)국순당,043650,2017/12,75544356,86651908,10134104,14274110
(주)국순당,043650,2018/12,62941465,72906719,10860632,14888891
(주)국순당,043650,2019/12,60930981,78834555,10459069,16017909
(주)국영지앤엠,006050,2011/12,25252313,,1498155,
(주)국영지앤엠,006050,2012/12,21149484,,1588558,
(주)국영지앤엠,006050,2013/12,25059260,,1582228,
(주)국영지앤엠,006050,2014/12,22615829,,1796351,
(주)국영지앤엠,006050,2015/12,27918404,,1330780,
(주)국영지앤엠,006050,2016/12,29575531,,4059203,
(주)국영지앤엠,006050,2017/12,29995395,,3195981,
(주)국영지앤엠,006050,2018/12,25138635,,2641685,
(주)국영지앤엠,006050,2019/12,32068324,,2586636,
(주)국전약품,307750,2018/12,,,,
(주)국전약품,307750,2019/12,,,,
(주)그래디언트,035080,2011/12,24034151,278334197,0,40547172
(주)그래디언트,035080,2012/12,14309378,240486033,0,34742521
(주)그래디언트,035080,2013/12,1714561,979087606,0,68307862
(주)그래디언트,035080,2014/12,3742011,1142871354,0,80245551
(주)그래디언트,035080,2015/12,949479,1337838696,0,138382962
(주)그래디언트,035080,2016/12,395047,1415600914,0,117903146
(주)그래디언트,035080,2017/12,3201309,1229878565,0,137969792
(주)그래디언트,035080,2018/12,2674301,1261972833,0,166911756
(주)그래디언트,035080,2019/12,208003,1206801338,0,85519268
(주)그리티,204020,2018/12,75670982,89112620,30715245,40441857
(주)그리티,204020,2019/12,68611692,82603832,32650635,42201748
(주)그린플러스,186230,2019/12,28574671,38480019,5842839,6019316
(주)글로벌스탠다드테크놀로지,083450,2011/12,31754029,33914648,13226235,14561368
(주)글로벌스탠다드테크놀로지,083450,2012/12,27371107,31615500,15560311,17354428
(주)글로벌스탠다드테크놀로지,083450,2013/12,34350069,37636405,15483578,17043649
(주)글로벌스탠다드테크놀로지,083450,2014/12,38669764,42966221,11786134,13254999
(주)글로벌스탠다드테크놀로지,083450,2015/12,30726947,35391249,8283238,9698920
(주)글로벌스탠다드테크놀로지,083450,2016/12,46676903,53825575,19337480,23047266
(주)글로벌스탠다드테크놀로지,083450,2017/12,46766708,57916418,17981798,22852794
(주)글로벌스탠다드테크놀로지,083450,2018/12,41265448,54651818,11906377,18514976
(주)글로벌스탠다드테크놀로지,083450,2019/12,78199372,88978443,17832463,21844307
(주)금비,008870,2011/09,31090507,65598563,8615791,17161712
(주)금비,008870,2012/09,27896984,69601347,8411396,17526440
(주)금비,008870,2013/09,25680687,62071037,9421859,18026426
(주)금비,008870,2014/09,23356269,69421539,8328456,16905269
(주)금비,008870,2015/09,30922809,77826715,9095497,16838525
(주)금비,008870,2016/09,36295583,92313829,10069163,18552822
(주)금비,008870,2017/09,30234670,90869613,8904859,17332784
(주)금비,008870,2018/09,32217235,97025499,8554261,17758613
(주)금비,008870,2019/09,34312672,105632362,8980570,17199098
(주)금양,001570,2011/12,50168793,73356949,6884124,14236426
(주)금양,001570,2012/12,46841743,69850864,7118999,13739318
(주)금양,001570,2013/12,60939478,90828722,8359928,20839381
(주)금양,001570,2014/12,57627190,111767170,10954973,25271205
(주)금양,001570,2015/12,63905239,116881516,9434413,21613668
(주)금양,001570,2016/12,61611949,92604838,6869584,19103181
(주)금양,001570,2017/12,58591469,130477254,8612918,22603043
(주)금양,001570,2018/12,48188432,129420730,8960870,24409366
(주)금양,001570,2019/12,61997758,130285368,10501788,27024408
(주)금호에이치티,214330,2015/12,80694020,86522457,20906519,28696569
(주)금호에이치티,214330,2016/12,92744392,90849794,20950659,30299760
(주)금호에이치티,214330,2017/12,89724027,88316450,21605544,31489881
(주)금호에이치티,214330,2018/12,138884192,155547300,31971852,49440535
(주)금호에이치티,214330,2019/12,183830342,204929138,31972894,48755715
(주)금화피에스시,036190,2011/12,65271945,,0,
(주)금화피에스시,036190,2012/12,73807483,,0,
(주)금화피에스시,036190,2013/12,78244379,89606593,0,211891
(주)금화피에스시,036190,2014/12,76794467,92403274,0,650775
(주)금화피에스시,036190,2015/12,103478978,121277555,0,572369
(주)금화피에스시,036190,2016/12,126330610,144728651,0,832281
(주)금화피에스시,036190,2017/12,141168180,158082025,0,1035746
(주)금화피에스시,036190,2018/12,157919642,178015924,0,1139754
(주)금화피에스시,036190,2019/12,152061849,184009183,0,1217558
(주)기가레인,049080,2013/12,52867551,52670777,10634480,10704669
(주)기가레인,049080,2014/12,42277551,42916021,11226248,11467784
(주)기가레인,049080,2015/12,42133622,45758661,6815349,8173832
(주)기가레인,049080,2016/12,43016521,46144283,5755900,7789794
(주)기가레인,049080,2017/12,69139156,72343064,22471865,24300940
(주)기가레인,049080,2018/12,93687799,97225166,35715541,37262134
(주)기가레인,049080,2019/12,60124344,60133834,15205943,17628230
(주)기산텔레콤,035460,2011/12,36475109,55476277,10909684,18767251
(주)기산텔레콤,035460,2012/12,25695937,55620433,5331514,13259612
(주)기산텔레콤,035460,2013/12,36537435,63696575,5894529,15151600
(주)기산텔레콤,035460,2014/12,35605455,64834230,5456977,22011486
(주)기산텔레콤,035460,2015/12,37184206,64461290,4919930,18183749
(주)기산텔레콤,035460,2016/12,31145919,62942880,4378274,17338891
(주)기산텔레콤,035460,2017/12,29268094,58352347,7924502,21211655
(주)기산텔레콤,035460,2018/12,23094786,46536756,3963378,19445191
(주)기산텔레콤,035460,2019/12,22585911,49053647,3162634,20148676
(주)까뮤이앤씨,013700,2011/12,76964607,,4678067,
(주)까뮤이앤씨,013700,2012/12,119571783,,5293572,
(주)까뮤이앤씨,013700,2013/12,109233863,,1151053,
(주)까뮤이앤씨,013700,2014/12,34559227,,1514376,
(주)까뮤이앤씨,013700,2015/12,62979800,,1396884,
(주)까뮤이앤씨,013700,2016/12,45642684,,1361867,
(주)까뮤이앤씨,013700,2017/12,41210840,,1477286,
(주)까뮤이앤씨,013700,2018/12,42850829,,1984047,
(주)까뮤이앤씨,013700,2019/12,74633980,,1224883,
(주)까스텔바작,308100,2019/12,66187581,66201004,37141130,37141130
(주)나노,187790,2014/12,,,,
(주)나노,187790,2015/12,28103516,49781287,11643170,19870176
(주)나노,187790,2016/12,18258906,34297077,7609827,15952670
(주)나노,187790,2017/12,23979304,42822418,6727280,20989648
(주)나노,187790,2018/12,21311661,51117840,7901458,23400275
(주)나노,187790,2019/12,26750864,49148522,9169186,21584379
(주)나노브릭,286750,2019/12,11714243,11714243,1921947,1921947
(주)나노신소재,121600,2011/12,46740712,47025271,26824943,26824943
(주)나노신소재,121600,2012/12,41944586,42125797,27117909,27117909
(주)나노신소재,121600,2013/12,42581256,42799213,26850873,26850873
(주)나노신소재,121600,2014/12,48606260,48906282,31359550,31359550
(주)나노신소재,121600,2015/12,59895568,60962500,29013917,29013917
(주)나노신소재,121600,2016/12,62232029,62485580,29895861,29895861
(주)나노신소재,121600,2017/12,61474512,61681313,30968835,30968835
(주)나노신소재,121600,2018/12,70100637,70792401,39994521,39994521
(주)나노신소재,121600,2019/12,72468307,74512856,37755144,37755144
(주)나노엔텍,039860,2011/12,35042662,36625845,3772253,3783762
(주)나노엔텍,039860,2012/12,25393293,26183933,4579595,4708962
(주)나노엔텍,039860,2013/12,23655125,25013045,4495255,4879289
(주)나노엔텍,039860,2014/12,24713988,23133792,4361249,5547893
(주)나노엔텍,039860,2015/12,26760417,25151814,3373488,5775124
(주)나노엔텍,039860,2016/12,24010804,21923466,5387906,6556793
