회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원)
(주)가비아,079940,2018/12,69315988,151440505
(주)가비아,079940,2019/12,82964911,199916131
(주)강스템바이오텍,217730,2015/12,24982626,
(주)강스템바이오텍,217730,2016/12,47441769,
(주)강스템바이오텍,217730,2017/12,44508729,47198979
(주)강스템바이오텍,217730,2018/12,66184838,73194018
(주)강스템바이오텍,217730,2019/12,98625925,113643697
(주)강원랜드,035250,2011/12,2730283806,2711401782
(주)강원랜드,035250,2012/12,2915385756,2906655321
(주)강원랜드,035250,2013/12,3105430200,3102036846
(주)강원랜드,035250,2014/12,3380461682,3375127289
(주)강원랜드,035250,2015/12,3688060027,3690791830
(주)강원랜드,035250,2016/12,3975979890,3978987574
(주)강원랜드,035250,2017/12,4182527382,4185657487
(주)강원랜드,035250,2018/12,4229630541,4231241354
(주)강원랜드,035250,2019/12,4436461953,4438119306
(주)강원에너지,114190,2011/11,53719067,
(주)강원에너지,114190,2012/12,89258208,
(주)강원에너지,114190,2013/12,72441333,
(주)강원에너지,114190,2014/12,67037639,
(주)강원에너지,114190,2015/12,80939019,85457457
(주)강원에너지,114190,2016/12,70850137,77186606
(주)강원에너지,114190,2017/12,87781416,93179394
(주)강원에너지,114190,2018/12,89619750,93845576
(주)강원에너지,114190,2019/12,55106032,56602063
(주)갤럭시아에스엠,011420,2011/12,40711969,45110356
(주)갤럭시아에스엠,011420,2012/12,40169876,43979072
(주)갤럭시아에스엠,011420,2013/12,34158874,37636664
(주)갤럭시아에스엠,011420,2014/12,40528250,45274078
(주)갤럭시아에스엠,011420,2015/12,67196553,68686992
(주)갤럭시아에스엠,011420,2016/12,55825556,58444606
(주)갤럭시아에스엠,011420,2017/12,48958128,49831109
(주)갤럭시아에스엠,011420,2018/12,33337692,33253331
(주)갤럭시아에스엠,011420,2019/12,28241598,28241598
(주)경농,002100,2011/12,176741869,173774102
(주)경농,002100,2012/12,203467698,269412832
(주)경농,002100,2013/12,214988593,255984725
(주)경농,002100,2014/12,230870852,284623063
(주)경농,002100,2015/12,265109291,316341853
(주)경농,002100,2016/12,266622289,320915151
(주)경농,002100,2017/12,268967010,335873898
(주)경농,002100,2018/12,285031873,357260541
(주)경농,002100,2019/12,297197088,370874091
(주)경동나비엔,009450,2011/12,224373470,263211016
(주)경동나비엔,009450,2012/12,254627468,299729837
(주)경동나비엔,009450,2013/12,301475800,354779867
(주)경동나비엔,009450,2014/12,331089242,401658957
(주)경동나비엔,009450,2015/12,324848990,402084368
(주)경동나비엔,009450,2016/12,347643876,429754702
(주)경동나비엔,009450,2017/12,391400492,503697210
(주)경동나비엔,009450,2018/12,440513661,583595818
(주)경동나비엔,009450,2019/12,461607017,609808343
(주)경동도시가스,267290,2017/12,707917077,710280194
(주)경동도시가스,267290,2018/12,775880913,778269612
(주)경동도시가스,267290,2019/12,747453908,749999474
(주)경동인베스트,012320,2011/12,941176098,1001490869
(주)경동인베스트,012320,2012/12,1168400020,1209924561
(주)경동인베스트,012320,2013/12,1161427092,1205008353
(주)경동인베스트,012320,2014/12,1101071366,1320789066
(주)경동인베스트,012320,2015/12,926392697,1167819522
(주)경동인베스트,012320,2016/12,903818865,1126122628
(주)경동인베스트,012320,2017/12,318031347,599276331
(주)경동인베스트,012320,2018/12,318776653,592002536
(주)경동인베스트,012320,2019/12,316572482,605467383
(주)경방,000050,2011/12,1331930968,1352324332
(주)경방,000050,2012/12,1301719900,1335039930
(주)경방,000050,2013/12,1261257414,1296989142
(주)경방,000050,2014/12,1275008413,1301841379
(주)경방,000050,2015/12,1259512344,1318643312
(주)경방,000050,2016/12,1237024388,1301910960
(주)경방,000050,2017/12,1199063663,1274042237
(주)경방,000050,2018/12,1226545382,1301792841
(주)경방,000050,2019/12,1296265431,1370742491
(주)경보제약,214390,2015/12,195488457,
(주)경보제약,214390,2016/12,203735980,
(주)경보제약,214390,2017/12,204869399,
(주)경보제약,214390,2018/12,221622993,
(주)경보제약,214390,2019/12,237816742,
(주)경인양행,012610,2011/12,245825940,319596954
(주)경인양행,012610,2012/12,241045608,287452678
(주)경인양행,012610,2013/12,274570963,316944796
(주)경인양행,012610,2014/12,267331084,313039125
(주)경인양행,012610,2015/12,273778266,326687437
(주)경인양행,012610,2016/12,290035389,344298515
(주)경인양행,012610,2017/12,296909084,357951470
(주)경인양행,012610,2018/12,344908257,412996589
(주)경인양행,012610,2019/12,381063538,472081003
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,115881620,
(주)고려시멘트,198440,2018/12,127536833,
(주)고려시멘트,198440,2019/12,127035573,
(주)고영테크놀러지,098460,2011/12,87017886,87006201
(주)고영테크놀러지,098460,2012/12,103019642,103351965
(주)고영테크놀러지,098460,2013/12,121329325,120951617
(주)고영테크놀러지,098460,2014/12,141873467,141720465
(주)고영테크놀러지,098460,2015/12,160170850,158857627
(주)고영테크놀러지,098460,2016/12,194332855,195121241
(주)고영테크놀러지,098460,2017/12,205696350,205207385
(주)고영테크놀러지,098460,2018/12,279985447,279059436
(주)고영테크놀러지,098460,2019/12,308020011,305481184
(주)골드앤에스,035290,2011/12,46347129,46677146
(주)골드앤에스,035290,2012/12,51062616,51950606
(주)골드앤에스,035290,2013/12,34508798,51442505
(주)골드앤에스,035290,2014/12,28884288,46528474
(주)골드앤에스,035290,2015/12,23597566,24102094
(주)골드앤에스,035290,2016/12,18296141,18671644
(주)골드앤에스,035290,2017/12,16994788,17173934
(주)골드앤에스,035290,2018/12,42472631,42472631
(주)골드앤에스,035290,2019/12,16096170,16096170
(주)골드퍼시픽,038530,2011/12,27473520,
(주)골드퍼시픽,038530,2012/12,29861540,
(주)골드퍼시픽,038530,2013/12,30517744,33687572
(주)골드퍼시픽,038530,2014/12,31936409,41948832
(주)골드퍼시픽,038530,2015/12,27495738,28573328
(주)골드퍼시픽,038530,2016/12,11122066,
(주)골드퍼시픽,038530,2017/12,26567967,
(주)골드퍼시픽,038530,2018/12,37288362,37825442
(주)골드퍼시픽,038530,2019/12,72945743,
(주)골프존,215000,2015/12,171629353,178132253
(주)골프존,215000,2016/12,177635830,187914226
(주)골프존,215000,2017/12,239011847,253672419
(주)골프존,215000,2018/12,254578679,254057808
(주)골프존,215000,2019/12,304860836,312587283
(주)골프존뉴딘홀딩스,121440,2011/12,373246120,378054302
(주)골프존뉴딘홀딩스,121440,2012/12,512614848,540922890
(주)골프존뉴딘홀딩스,121440,2013/12,589946855,637840057
(주)골프존뉴딘홀딩스,121440,2014/12,586599347,762037240
(주)골프존뉴딘홀딩스,121440,2015/12,585663015,767325175
(주)골프존뉴딘홀딩스,121440,2016/12,561892958,760772930
(주)골프존뉴딘홀딩스,121440,2017/12,536244772,756500949
(주)골프존뉴딘홀딩스,121440,2018/12,563387103,774743339
(주)골프존뉴딘홀딩스,121440,2019/12,537526345,776384700
(주)광림,014200,2011/12,86353051,
(주)광림,014200,2012/12,89766075,
(주)광림,014200,2013/12,101592603,
(주)광림,014200,2014/12,120284256,244886480
(주)광림,014200,2015/12,146338755,
(주)광림,014200,2016/12,152080347,229596737
(주)광림,014200,2017/12,369582323,208058303
(주)광림,014200,2018/12,236379465,187812629
(주)광림,014200,2019/12,193568854,252468254
(주)광명전기,017040,2011/12,99992644,123886511
(주)광명전기,017040,2012/12,104218586,131064345
(주)광명전기,017040,2013/12,105483729,120910764
(주)광명전기,017040,2014/12,119791644,138580023
(주)광명전기,017040,2015/12,107719518,131457603
(주)광명전기,017040,2016/12,125405290,146859319
(주)광명전기,017040,2017/12,128881408,152717140
(주)광명전기,017040,2018/12,124159091,151823119
(주)광명전기,017040,2019/12,140591786,156712705
(주)광무,029480,2011/12,85836111,75946478
(주)광무,029480,2012/12,60163490,55788602
(주)광무,029480,2013/12,28890332,35384615
(주)광무,029480,2014/12,27862528,
(주)광무,029480,2015/12,21133216,
(주)광무,029480,2016/12,29089768,
(주)광무,029480,2017/12,28950503,
(주)광무,029480,2018/12,26017306,28431748
(주)광무,029480,2019/12,57156720,63139837
(주)광주신세계,037710,2011/12,380753715,
(주)광주신세계,037710,2012/12,430662968,
(주)광주신세계,037710,2013/12,656355808,
(주)광주신세계,037710,2014/12,652758688,
(주)광주신세계,037710,2015/12,659495158,
(주)광주신세계,037710,2016/12,655502726,
(주)광주신세계,037710,2017/12,655018971,
(주)광주신세계,037710,2018/12,696204982,
(주)광주신세계,037710,2019/12,752423111,
(주)구영테크,053270,2011/12,94940916,149471330
(주)구영테크,053270,2012/12,109440531,161163024
(주)구영테크,053270,2013/12,97549406,149230187
(주)구영테크,053270,2014/12,101546298,155857242
(주)구영테크,053270,2015/12,102761141,161330950
(주)구영테크,053270,2016/12,108895002,166748490
(주)구영테크,053270,2017/12,139584386,187009683
(주)구영테크,053270,2018/12,146492374,202572970
(주)구영테크,053270,2019/12,141034767,206569873
(주)국동,005320,2011/12,42291817,68162305
(주)국동,005320,2012/12,35813125,65808287
(주)국동,005320,2013/12,40194919,73040609
(주)국동,005320,2014/12,53392996,89271398
(주)국동,005320,2015/12,66242141,93758552
(주)국동,005320,2016/12,86116813,124126720
(주)국동,005320,2017/12,75154254,106307080
(주)국동,005320,2018/12,80727956,123134702
(주)국동,005320,2019/12,96856085,133723726
(주)국보,001140,2011/12,97415381,98869465
(주)국보,001140,2012/12,93953021,98494841
(주)국보,001140,2013/12,94915572,98315386
(주)국보,001140,2014/12,87597909,91005502
(주)국보,001140,2015/12,80158667,83085438
(주)국보,001140,2016/12,77487791,81308887
(주)국보,001140,2017/12,69819240,73270170
(주)국보,001140,2018/12,45599283,48188113
(주)국보,001140,2019/12,57467353,115356448
(주)국보디자인,066620,2011/12,79203327,80200900
(주)국보디자인,066620,2012/12,92873298,92877548
(주)국보디자인,066620,2013/12,121964092,127902185
(주)국보디자인,066620,2014/12,125685773,132011877
(주)국보디자인,066620,2015/12,129037954,141089858
(주)국보디자인,066620,2016/12,150830570,158452485
(주)국보디자인,066620,2017/12,158317679,164381715
(주)국보디자인,066620,2018/12,161750972,175036784
(주)국보디자인,066620,2019/12,197762410,222514980
(주)국순당,043650,2011/12,193849294,199135153
(주)국순당,043650,2012/12,203489729,209729554
(주)국순당,043650,2013/12,203199593,218115221
(주)국순당,043650,2014/12,205782935,217479839
(주)국순당,043650,2015/12,203528460,216587928
(주)국순당,043650,2016/12,200077411,213004831
(주)국순당,043650,2017/12,208832133,242199755
(주)국순당,043650,2018/12,221229658,238619493
(주)국순당,043650,2019/12,210006510,252484287
(주)국영지앤엠,006050,2011/12,61022765,
(주)국영지앤엠,006050,2012/12,60197670,
(주)국영지앤엠,006050,2013/12,63108054,
(주)국영지앤엠,006050,2014/12,58995756,
(주)국영지앤엠,006050,2015/12,63713392,
(주)국영지앤엠,006050,2016/12,65670915,
(주)국영지앤엠,006050,2017/12,66101002,
(주)국영지앤엠,006050,2018/12,60335138,
(주)국영지앤엠,006050,2019/12,68657302,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,521750143,777653618
(주)그래디언트,035080,2012/12,482181596,739985481
(주)그래디언트,035080,2013/12,473264178,1598503940
(주)그래디언트,035080,2014/12,455860309,1920350951
(주)그래디언트,035080,2015/12,475792856,2106702049
(주)그래디언트,035080,2016/12,404583242,2073537018
(주)그래디언트,035080,2017/12,344022749,1804533355
(주)그래디언트,035080,2018/12,339457297,1809664488
(주)그래디언트,035080,2019/12,336145750,1780051911
(주)그리티,204020,2018/12,86557287,95755030
(주)그리티,204020,2019/12,86803901,92151596
(주)그린플러스,186230,2019/12,56587945,72321985
(주)글로벌스탠다드테크놀로지,083450,2011/12,49714791,52575255
(주)글로벌스탠다드테크놀로지,083450,2012/12,49050552,53824618
(주)글로벌스탠다드테크놀로지,083450,2013/12,57053266,62626777
(주)글로벌스탠다드테크놀로지,083450,2014/12,63317853,69972237
(주)글로벌스탠다드테크놀로지,083450,2015/12,60770711,69691968
(주)글로벌스탠다드테크놀로지,083450,2016/12,78440684,89405841
(주)글로벌스탠다드테크놀로지,083450,2017/12,88966307,102400669
(주)글로벌스탠다드테크놀로지,083450,2018/12,87524011,105027408
(주)글로벌스탠다드테크놀로지,083450,2019/12,120984040,136751562
(주)금비,008870,2011/09,134828296,215118770
(주)금비,008870,2012/09,131454531,215481348
(주)금비,008870,2013/09,131903805,209837389
(주)금비,008870,2014/09,138058582,220865299
(주)금비,008870,2015/09,142267212,231838031
(주)금비,008870,2016/09,155344926,250604972
(주)금비,008870,2017/09,148196313,247008401
(주)금비,008870,2018/09,149863024,252892158
(주)금비,008870,2019/09,151412728,260180107
(주)금양,001570,2011/12,124086392,130817841
(주)금양,001570,2012/12,127197484,127557393
(주)금양,001570,2013/12,142485295,147115126
(주)금양,001570,2014/12,145135554,160244911
(주)금양,001570,2015/12,157467543,165405931
(주)금양,001570,2016/12,174953809,178901902
(주)금양,001570,2017/12,167120998,196084032
(주)금양,001570,2018/12,155507052,204777156
(주)금양,001570,2019/12,171931897,224222540
(주)금호에이치티,214330,2015/12,109367040,123875646
(주)금호에이치티,214330,2016/12,151786975,156606980
(주)금호에이치티,214330,2017/12,146407321,150164495
(주)금호에이치티,214330,2018/12,230268876,238380056
(주)금호에이치티,214330,2019/12,314666069,322078193
(주)금화피에스시,036190,2011/12,94174014,
(주)금화피에스시,036190,2012/12,105483370,
(주)금화피에스시,036190,2013/12,135180701,142932108
(주)금화피에스시,036190,2014/12,146360964,158057524
(주)금화피에스시,036190,2015/12,175086217,189001800
(주)금화피에스시,036190,2016/12,197557790,215036137
(주)금화피에스시,036190,2017/12,216252318,231639148
(주)금화피에스시,036190,2018/12,242310750,262516457
(주)금화피에스시,036190,2019/12,255149491,281692946
(주)기가레인,049080,2013/12,122926340,122523850
(주)기가레인,049080,2014/12,133237615,131923500
(주)기가레인,049080,2015/12,148551434,151757532
(주)기가레인,049080,2016/12,152639799,155732003
(주)기가레인,049080,2017/12,179756049,181628353
(주)기가레인,049080,2018/12,176296022,179113947
(주)기가레인,049080,2019/12,115539385,117798198
(주)기산텔레콤,035460,2011/12,59416681,86259438
(주)기산텔레콤,035460,2012/12,46588431,73234520
(주)기산텔레콤,035460,2013/12,57254925,78811114
(주)기산텔레콤,035460,2014/12,54284156,78052777
(주)기산텔레콤,035460,2015/12,53901387,76012528
(주)기산텔레콤,035460,2016/12,47117435,74209973
(주)기산텔레콤,035460,2017/12,44554117,70137339
(주)기산텔레콤,035460,2018/12,34219394,56180491
(주)기산텔레콤,035460,2019/12,40025881,66789756
(주)까뮤이앤씨,013700,2011/12,248885092,
(주)까뮤이앤씨,013700,2012/12,203481478,
(주)까뮤이앤씨,013700,2013/12,167635146,
(주)까뮤이앤씨,013700,2014/12,129647729,
(주)까뮤이앤씨,013700,2015/12,129465385,
(주)까뮤이앤씨,013700,2016/12,142978398,
(주)까뮤이앤씨,013700,2017/12,139937930,
(주)까뮤이앤씨,013700,2018/12,142240175,
(주)까뮤이앤씨,013700,2019/12,168876167,
(주)까스텔바작,308100,2019/12,88614189,89005071
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,72593232,99495652
(주)나노,187790,2016/12,57351009,83440884
(주)나노,187790,2017/12,59149648,91574665
(주)나노,187790,2018/12,66624058,108261295
(주)나노,187790,2019/12,73016346,116141232
(주)나노브릭,286750,2019/12,24551526,24551526
(주)나노신소재,121600,2011/12,73039188,73056413
(주)나노신소재,121600,2012/12,68451247,68351781
(주)나노신소재,121600,2013/12,67590589,67523690
(주)나노신소재,121600,2014/12,71672677,71678554
(주)나노신소재,121600,2015/12,82685704,83449448
(주)나노신소재,121600,2016/12,84288643,84239207
(주)나노신소재,121600,2017/12,89013566,88963512
(주)나노신소재,121600,2018/12,98056917,98480424
(주)나노신소재,121600,2019/12,101777474,101893569
(주)나노엔텍,039860,2011/12,50081334,49649382
(주)나노엔텍,039860,2012/12,44443980,44437103
(주)나노엔텍,039860,2013/12,46319139,44803627
(주)나노엔텍,039860,2014/12,46185844,43261142
(주)나노엔텍,039860,2015/12,58551326,52687009
(주)나노엔텍,039860,2016/12,47792785,45707894
(주)나노엔텍,039860,2017/12,45400592,42369896
(주)나노엔텍,039860,2018/12,45657059,42161682
(주)나노엔텍,039860,2019/12,50554981,46639328
(주)나무가,190510,2015/12,147630953,203857810
(주)나무가,190510,2016/12,114797114,195912474
(주)나무가,190510,2017/12,73845257,142414320
(주)나무가,190510,2018/12,78000824,118767661
(주)나무가,190510,2019/12,157114377,194518538
(주)나스미디어,089600,2013/12,97139620,
(주)나스미디어,089600,2014/12,97502238,
(주)나스미디어,089600,2015/12,141732627,
(주)나스미디어,089600,2016/12,192274757,263925022
(주)나스미디어,089600,2017/12,239540352,315966980
(주)나스미디어,089600,2018/12,229196776,303112420
(주)나스미디어,089600,2019/12,279587256,356236026
(주)나이벡,138610,2011/12,17401025,
(주)나이벡,138610,2012/12,16460027,
(주)나이벡,138610,2013/12,17054924,
(주)나이벡,138610,2014/12,14148441,
(주)나이벡,138610,2015/12,19428914,
(주)나이벡,138610,2016/12,22969642,
(주)나이벡,138610,2017/12,25750373,
(주)나이벡,138610,2018/12,22317590,
(주)나이벡,138610,2019/12,35734880,
(주)나이스디앤비,130580,2011/12,22641623,
(주)나이스디앤비,130580,2012/12,24790683,
(주)나이스디앤비,130580,2013/12,27132117,
(주)나이스디앤비,130580,2014/12,31070259,
(주)나이스디앤비,130580,2015/12,34806859,37168676
(주)나이스디앤비,130580,2016/12,37343939,40466208
(주)나이스디앤비,130580,2017/12,43008000,46928148
(주)나이스디앤비,130580,2018/12,51102350,56660361
(주)나이스디앤비,130580,2019/12,60523112,78675556
(주)나이스홀딩스,034310,2011/12,329687222,427573951
(주)나이스홀딩스,034310,2012/12,326573175,496053949
(주)나이스홀딩스,034310,2013/12,340424811,865450175
(주)나이스홀딩스,034310,2014/12,374466879,1191004551
(주)나이스홀딩스,034310,2015/12,379918653,1242453840
(주)나이스홀딩스,034310,2016/12,388557495,1408253173
(주)나이스홀딩스,034310,2017/12,384843529,1742367144
(주)나이스홀딩스,034310,2018/12,423389599,2172977804
(주)나이스홀딩스,034310,2019/12,438147427,2564827369
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,224292636,259574975
(주)남선알미늄,008350,2012/12,236720122,
(주)남선알미늄,008350,2013/12,237576875,
(주)남선알미늄,008350,2014/12,240321965,
(주)남선알미늄,008350,2015/12,286102329,
(주)남선알미늄,008350,2016/12,283413750,
(주)남선알미늄,008350,2017/12,284649401,
(주)남선알미늄,008350,2018/12,294949630,303023071
(주)남선알미늄,008350,2019/12,292559970,295529661
(주)남성,004270,2011/12,185361070,222934371
(주)남성,004270,2012/12,189440992,221414593
(주)남성,004270,2013/12,170466140,200078722
(주)남성,004270,2014/12,170614606,195514519
(주)남성,004270,2015/12,176973347,201740627
(주)남성,004270,2016/12,169335721,204535206
(주)남성,004270,2017/12,170016707,203435953
(주)남성,004270,2018/12,168663357,205083689
(주)남성,004270,2019/12,168351672,204791617
(주)내츄럴엔도텍,168330,2013/12,68289681,
(주)내츄럴엔도텍,168330,2014/12,88718019,
(주)내츄럴엔도텍,168330,2015/12,68048870,69432771
(주)내츄럴엔도텍,168330,2016/12,84785249,85875253
(주)내츄럴엔도텍,168330,2017/12,76003964,85682820
(주)내츄럴엔도텍,168330,2018/12,58376529,61165965
(주)내츄럴엔도텍,168330,2019/12,46385446,48783961
(주)네오리진,094860,2011/12,38211632,50506702
(주)네오리진,094860,2012/12,43332725,
(주)네오리진,094860,2013/12,41590190,
(주)네오리진,094860,2014/12,30254515,
(주)네오리진,094860,2015/12,15421277,
(주)네오리진,094860,2016/12,15595920,
(주)네오리진,094860,2017/12,17731465,17683620
(주)네오리진,094860,2018/12,14691632,
(주)네오리진,094860,2019/12,14066760,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,61104654,64170222
(주)네오오토,212560,2015/12,120456080,
(주)네오오토,212560,2016/12,134856787,
(주)네오오토,212560,2017/12,137106556,
(주)네오오토,212560,2018/12,142507781,
(주)네오오토,212560,2019/12,141061458,
(주)네오위즈,095660,2011/12,591341137,626224593
(주)네오위즈,095660,2012/12,617354527,625813964
(주)네오위즈,095660,2013/12,551249191,506848572
(주)네오위즈,095660,2014/12,461517570,423334499
(주)네오위즈,095660,2015/12,449105231,374371339
(주)네오위즈,095660,2016/12,384869735,317438639
(주)네오위즈,095660,2017/12,358084232,304359379
(주)네오위즈,095660,2018/12,369637231,366712258
(주)네오위즈,095660,2019/12,364839362,398001624
(주)네오위즈홀딩스,042420,2011/12,281363732,699856916
(주)네오위즈홀딩스,042420,2012/12,293245166,689645348
(주)네오위즈홀딩스,042420,2013/12,262710442,588519102
(주)네오위즈홀딩스,042420,2014/12,272391992,573964611
(주)네오위즈홀딩스,042420,2015/12,368262016,570887893
(주)네오위즈홀딩스,042420,2016/12,328583153,533357640
(주)네오위즈홀딩스,042420,2017/12,313767777,524777876
(주)네오위즈홀딩스,042420,2018/12,306379044,590591987
(주)네오위즈홀딩스,042420,2019/12,305733563,622123554
(주)네오크레마,311390,2019/12,45863302,47211442
(주)네오티스,085910,2011/12,68203366,
(주)네오티스,085910,2012/12,70371168,
(주)네오티스,085910,2013/12,82403567,85206045
(주)네오티스,085910,2014/12,80613277,84630312
(주)네오티스,085910,2015/12,80839473,84946749
(주)네오티스,085910,2016/12,81259493,84886956
(주)네오티스,085910,2017/12,78550459,81029245
(주)네오티스,085910,2018/12,84260526,86639875
(주)네오티스,085910,2019/12,84509470,86911739
(주)네오팜,092730,2011/12,34000642,
(주)네오팜,092730,2012/12,34141789,
(주)네오팜,092730,2013/12,34758707,
(주)네오팜,092730,2014/12,35836403,
(주)네오팜,092730,2015/12,40409458,
(주)네오팜,092730,2016/12,46991314,46509145
(주)네오팜,092730,2017/12,57785337,56694807
(주)네오팜,092730,2018/12,74458661,72928484
(주)네오팜,092730,2019/12,123245965,122741537
(주)네오펙트,290660,2018/12,41288317,35920416
(주)네오펙트,290660,2019/12,43811943,47016455
(주)네온테크,306620,2018/12,,
