회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원)
(주)가비아,079940,2019/12,54084066,134959139
(주)강스템바이오텍,217730,2015/12,21237036,
(주)강스템바이오텍,217730,2016/12,22976911,
(주)강스템바이오텍,217730,2017/12,24668128,24482163
(주)강스템바이오텍,217730,2018/12,47944961,47581374
(주)강스템바이오텍,217730,2019/12,70845209,68719237
(주)강원랜드,035250,2011/12,2278202202,2257362696
(주)강원랜드,035250,2012/12,2383160603,2372026990
(주)강원랜드,035250,2013/12,2523962938,2517696496
(주)강원랜드,035250,2014/12,2716175018,2705357485
(주)강원랜드,035250,2015/12,2997442337,2997755205
(주)강원랜드,035250,2016/12,3252738063,3252727459
(주)강원랜드,035250,2017/12,3500789656,3501235933
(주)강원랜드,035250,2018/12,3586452533,3586777089
(주)강원랜드,035250,2019/12,3718433001,3717759076
(주)강원에너지,114190,2011/11,24502434,
(주)강원에너지,114190,2012/12,36107930,
(주)강원에너지,114190,2013/12,45877155,
(주)강원에너지,114190,2014/12,50445491,
(주)강원에너지,114190,2015/12,54880924,56583901
(주)강원에너지,114190,2016/12,53746356,55088690
(주)강원에너지,114190,2017/12,47117020,48303010
(주)강원에너지,114190,2018/12,49286354,50203707
(주)강원에너지,114190,2019/12,22904034,21124556
(주)갤럭시아에스엠,011420,2011/12,24539613,25274017
(주)갤럭시아에스엠,011420,2012/12,25153401,25907252
(주)갤럭시아에스엠,011420,2013/12,22472626,21493102
(주)갤럭시아에스엠,011420,2014/12,23402468,23205508
(주)갤럭시아에스엠,011420,2015/12,50665218,49739042
(주)갤럭시아에스엠,011420,2016/12,44846832,44846832
(주)갤럭시아에스엠,011420,2017/12,40494336,40494336
(주)갤럭시아에스엠,011420,2018/12,26797332,26472162
(주)갤럭시아에스엠,011420,2019/12,21798750,21798750
(주)경농,002100,2011/12,146016982,142986220
(주)경농,002100,2012/12,151500247,151738994
(주)경농,002100,2013/12,162696463,163157511
(주)경농,002100,2014/12,168998955,168915900
(주)경농,002100,2015/12,173056378,174667648
(주)경농,002100,2016/12,176722752,183969132
(주)경농,002100,2017/12,182959158,192152985
(주)경농,002100,2018/12,187066687,201453891
(주)경농,002100,2019/12,190892614,201885272
(주)경동나비엔,009450,2011/12,143268094,168114574
(주)경동나비엔,009450,2012/12,152201349,175875394
(주)경동나비엔,009450,2013/12,161494784,187280988
(주)경동나비엔,009450,2014/12,167984480,190021880
(주)경동나비엔,009450,2015/12,185208256,206076609
(주)경동나비엔,009450,2016/12,210193123,238762190
(주)경동나비엔,009450,2017/12,222028494,256506497
(주)경동나비엔,009450,2018/12,240355951,280103616
(주)경동나비엔,009450,2019/12,254559521,301042624
(주)경동도시가스,267290,2017/12,292628586,294331882
(주)경동도시가스,267290,2018/12,318760537,320490074
(주)경동도시가스,267290,2019/12,337701666,339612043
(주)경동인베스트,012320,2011/12,412912132,407862543
(주)경동인베스트,012320,2012/12,468921996,446509347
(주)경동인베스트,012320,2013/12,516833582,498740561
(주)경동인베스트,012320,2014/12,560802056,607451423
(주)경동인베스트,012320,2015/12,548528455,576479441
(주)경동인베스트,012320,2016/12,556247783,587924566
(주)경동인베스트,012320,2017/12,309789000,400403090
(주)경동인베스트,012320,2018/12,310422538,397867310
(주)경동인베스트,012320,2019/12,308309156,414533638
(주)경방,000050,2011/12,676624221,629704391
(주)경방,000050,2012/12,669735441,620704205
(주)경방,000050,2013/12,685569176,636438555
(주)경방,000050,2014/12,651570419,647668814
(주)경방,000050,2015/12,671770865,662952918
(주)경방,000050,2016/12,690245544,679843399
(주)경방,000050,2017/12,710964923,699134073
(주)경방,000050,2018/12,729185709,708769346
(주)경방,000050,2019/12,740731873,741553199
(주)경보제약,214390,2015/12,122817151,
(주)경보제약,214390,2016/12,129402340,
(주)경보제약,214390,2017/12,141509596,
(주)경보제약,214390,2018/12,149012165,
(주)경보제약,214390,2019/12,149163504,
(주)경인양행,012610,2011/12,158882273,176292506
(주)경인양행,012610,2012/12,162112825,174988685
(주)경인양행,012610,2013/12,178074513,189744314
(주)경인양행,012610,2014/12,186433506,198238667
(주)경인양행,012610,2015/12,185903130,201125304
(주)경인양행,012610,2016/12,191021720,208293196
(주)경인양행,012610,2017/12,190844102,210934933
(주)경인양행,012610,2018/12,198237400,223759383
(주)경인양행,012610,2019/12,201086327,237433141
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,77394108,
(주)고려시멘트,198440,2018/12,86510962,
(주)고려시멘트,198440,2019/12,88445378,
(주)고영테크놀러지,098460,2011/12,70382391,69622726
(주)고영테크놀러지,098460,2012/12,84090906,83401095
(주)고영테크놀러지,098460,2013/12,100051693,98319609
(주)고영테크놀러지,098460,2014/12,118348519,115835240
(주)고영테크놀러지,098460,2015/12,133570714,131475647
(주)고영테크놀러지,098460,2016/12,157572806,157267580
(주)고영테크놀러지,098460,2017/12,164836232,161317171
(주)고영테크놀러지,098460,2018/12,229271175,225866639
(주)고영테크놀러지,098460,2019/12,252020628,243668528
(주)골드앤에스,035290,2011/12,22637807,22436829
(주)골드앤에스,035290,2012/12,26252682,25517816
(주)골드앤에스,035290,2013/12,9813149,13127353
(주)골드앤에스,035290,2014/12,9084260,12082621
(주)골드앤에스,035290,2015/12,14991660,15160254
(주)골드앤에스,035290,2016/12,14102143,14268527
(주)골드앤에스,035290,2017/12,13104737,13346076
(주)골드앤에스,035290,2018/12,13867013,13779569
(주)골드앤에스,035290,2019/12,-5001092,-5091573
(주)골드퍼시픽,038530,2011/12,21829724,
(주)골드퍼시픽,038530,2012/12,22928402,
(주)골드퍼시픽,038530,2013/12,17116411,16190999
(주)골드퍼시픽,038530,2014/12,16902289,16567915
(주)골드퍼시픽,038530,2015/12,20115559,21193149
(주)골드퍼시픽,038530,2016/12,1889641,
(주)골드퍼시픽,038530,2017/12,5364494,
(주)골드퍼시픽,038530,2018/12,20086698,20086698
(주)골드퍼시픽,038530,2019/12,21069318,
(주)골프존,215000,2015/12,105063093,108853909
(주)골프존,215000,2016/12,115886579,120648626
(주)골프존,215000,2017/12,181394935,189381881
(주)골프존,215000,2018/12,197436844,194919561
(주)골프존,215000,2019/12,205529589,200042879
(주)골프존뉴딘홀딩스,121440,2011/12,348104397,348968757
(주)골프존뉴딘홀딩스,121440,2012/12,410999847,411636973
(주)골프존뉴딘홀딩스,121440,2013/12,427556455,424543917
(주)골프존뉴딘홀딩스,121440,2014/12,473636026,486385956
(주)골프존뉴딘홀딩스,121440,2015/12,551703320,551360423
(주)골프존뉴딘홀딩스,121440,2016/12,506841447,528087416
(주)골프존뉴딘홀딩스,121440,2017/12,480074461,500912642
(주)골프존뉴딘홀딩스,121440,2018/12,484480922,485969871
(주)골프존뉴딘홀딩스,121440,2019/12,450069457,447197508
(주)광림,014200,2011/12,56677106,
(주)광림,014200,2012/12,63502275,
(주)광림,014200,2013/12,64796802,
(주)광림,014200,2014/12,66259380,128970849
(주)광림,014200,2015/12,80899308,
(주)광림,014200,2016/12,90221084,113505965
(주)광림,014200,2017/12,176556237,107690687
(주)광림,014200,2018/12,120931215,90075229
(주)광림,014200,2019/12,60749234,90772137
(주)광명전기,017040,2011/12,56987613,62936103
(주)광명전기,017040,2012/12,55136666,62992204
(주)광명전기,017040,2013/12,60793004,69847678
(주)광명전기,017040,2014/12,67539909,78696030
(주)광명전기,017040,2015/12,71275955,87829336
(주)광명전기,017040,2016/12,86335358,98063360
(주)광명전기,017040,2017/12,85430878,96648221
(주)광명전기,017040,2018/12,87989865,98748349
(주)광명전기,017040,2019/12,94186043,105398860
(주)광무,029480,2011/12,49296267,37831616
(주)광무,029480,2012/12,36518143,29507218
(주)광무,029480,2013/12,11346800,8786699
(주)광무,029480,2014/12,8505450,
(주)광무,029480,2015/12,7744452,
(주)광무,029480,2016/12,8053231,
(주)광무,029480,2017/12,13552175,
(주)광무,029480,2018/12,9695091,10729216
(주)광무,029480,2019/12,22202195,22844122
(주)광주신세계,037710,2011/12,310214632,
(주)광주신세계,037710,2012/12,361615843,
(주)광주신세계,037710,2013/12,408690826,
(주)광주신세계,037710,2014/12,448624926,
(주)광주신세계,037710,2015/12,491380796,
(주)광주신세계,037710,2016/12,534290186,
(주)광주신세계,037710,2017/12,579363832,
(주)광주신세계,037710,2018/12,620656716,
(주)광주신세계,037710,2019/12,661189861,
(주)구영테크,053270,2011/12,27962532,36633264
(주)구영테크,053270,2012/12,29302171,36686891
(주)구영테크,053270,2013/12,30762180,39023837
(주)구영테크,053270,2014/12,42200180,52212920
(주)구영테크,053270,2015/12,44066560,56401223
(주)구영테크,053270,2016/12,46429602,57780291
(주)구영테크,053270,2017/12,47102417,55811041
(주)구영테크,053270,2018/12,57861349,68827896
(주)구영테크,053270,2019/12,58668784,71704257
(주)국동,005320,2011/12,2694312,5829570
(주)국동,005320,2012/12,2775119,9422729
(주)국동,005320,2013/12,5947778,15412210
(주)국동,005320,2014/12,14336568,28639367
(주)국동,005320,2015/12,22395455,31226110
(주)국동,005320,2016/12,40069999,51725723
(주)국동,005320,2017/12,38638770,42630725
(주)국동,005320,2018/12,41762492,48475045
(주)국동,005320,2019/12,54349558,65481226
(주)국보,001140,2011/12,33874415,34466553
(주)국보,001140,2012/12,31655538,33793391
(주)국보,001140,2013/12,27678685,29768264
(주)국보,001140,2014/12,20984752,22620239
(주)국보,001140,2015/12,17113465,18409444
(주)국보,001140,2016/12,13200649,15275562
(주)국보,001140,2017/12,16039171,17848563
(주)국보,001140,2018/12,11578143,13412206
(주)국보,001140,2019/12,12278837,28604010
(주)국보디자인,066620,2011/12,48472432,48143562
(주)국보디자인,066620,2012/12,58283419,57564527
(주)국보디자인,066620,2013/12,64945696,65598063
(주)국보디자인,066620,2014/12,70452085,74350888
(주)국보디자인,066620,2015/12,75467148,83307386
(주)국보디자인,066620,2016/12,80282408,86928845
(주)국보디자인,066620,2017/12,94380512,99283826
(주)국보디자인,066620,2018/12,103598968,108600438
(주)국보디자인,066620,2019/12,112076012,123363884
(주)국순당,043650,2011/12,174045265,178114387
(주)국순당,043650,2012/12,186305726,191625826
(주)국순당,043650,2013/12,185985822,194567775
(주)국순당,043650,2014/12,186838479,196810690
(주)국순당,043650,2015/12,186118215,198167277
(주)국순당,043650,2016/12,183188543,194018641
(주)국순당,043650,2017/12,191745752,221539252
(주)국순당,043650,2018/12,203499644,215679919
(주)국순당,043650,2019/12,196923842,204958649
(주)국영지앤엠,006050,2011/12,32733005,
(주)국영지앤엠,006050,2012/12,45960267,
(주)국영지앤엠,006050,2013/12,46345349,
(주)국영지앤엠,006050,2014/12,47240880,
(주)국영지앤엠,006050,2015/12,48972537,
(주)국영지앤엠,006050,2016/12,50558041,
(주)국영지앤엠,006050,2017/12,52611544,
(주)국영지앤엠,006050,2018/12,51748308,
(주)국영지앤엠,006050,2019/12,52826451,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,334573662,328872047
(주)그래디언트,035080,2012/12,411656935,396658402
(주)그래디언트,035080,2013/12,402332195,751939528
(주)그래디언트,035080,2014/12,420045194,900343355
(주)그래디언트,035080,2015/12,431479124,903808797
(주)그래디언트,035080,2016/12,389295611,840330799
(주)그래디언트,035080,2017/12,328719925,742316982
(주)그래디언트,035080,2018/12,325218418,714481098
(주)그래디언트,035080,2019/12,320088192,669586510
(주)그리티,204020,2018/12,74051025,74460588
(주)그리티,204020,2019/12,74833748,74181103
(주)그린플러스,186230,2019/12,36772875,37391337
(주)글로벌스탠다드테크놀로지,083450,2011/12,26355250,27594673
(주)글로벌스탠다드테크놀로지,083450,2012/12,33379017,36008304
(주)글로벌스탠다드테크놀로지,083450,2013/12,39169886,42629997
(주)글로벌스탠다드테크놀로지,083450,2014/12,45624394,50846053
(주)글로벌스탠다드테크놀로지,083450,2015/12,49667680,56675666
(주)글로벌스탠다드테크놀로지,083450,2016/12,53103831,60779819
(주)글로벌스탠다드테크놀로지,083450,2017/12,67278478,78275559
(주)글로벌스탠다드테크놀로지,083450,2018/12,72640818,85807825
(주)글로벌스탠다드테크놀로지,083450,2019/12,90403163,103310701
(주)금비,008870,2011/09,76631712,127461261
(주)금비,008870,2012/09,76286738,127569592
(주)금비,008870,2013/09,75961191,127930275
(주)금비,008870,2014/09,73951486,130427078
(주)금비,008870,2015/09,75497346,138920965
(주)금비,008870,2016/09,80284267,146679335
(주)금비,008870,2017/09,80937315,150022915
(주)금비,008870,2018/09,83535809,156252159
(주)금비,008870,2019/09,84602682,163543704
(주)금양,001570,2011/12,43024251,45175687
(주)금양,001570,2012/12,45261596,45542580
(주)금양,001570,2013/12,45422689,45554255
(주)금양,001570,2014/12,46481587,44489985
(주)금양,001570,2015/12,46703110,57953744
(주)금양,001570,2016/12,22239137,34480745
(주)금양,001570,2017/12,31251974,57595446
(주)금양,001570,2018/12,49187838,79456336
(주)금양,001570,2019/12,35004819,68287064
(주)금호에이치티,214330,2015/12,82117294,81388280
(주)금호에이치티,214330,2016/12,92714230,86282030
(주)금호에이치티,214330,2017/12,97560824,90754420
(주)금호에이치티,214330,2018/12,131065067,124851871
(주)금호에이치티,214330,2019/12,180769966,172630689
(주)금화피에스시,036190,2011/12,76345247,
(주)금화피에스시,036190,2012/12,92305175,
(주)금화피에스시,036190,2013/12,113200802,117616926
(주)금화피에스시,036190,2014/12,126877795,133525938
(주)금화피에스시,036190,2015/12,142256701,149051009
(주)금화피에스시,036190,2016/12,159990222,168709929
(주)금화피에스시,036190,2017/12,176303850,184227358
(주)금화피에스시,036190,2018/12,211366403,220727038
(주)금화피에스시,036190,2019/12,227742546,239409631
(주)기가레인,049080,2013/12,62596675,62386212
(주)기가레인,049080,2014/12,77078658,75572003
(주)기가레인,049080,2015/12,65461853,65744609
(주)기가레인,049080,2016/12,57063120,57597489
(주)기가레인,049080,2017/12,89023883,88669122
(주)기가레인,049080,2018/12,66878280,68560116
(주)기가레인,049080,2019/12,27887641,28064616
(주)기산텔레콤,035460,2011/12,32479105,33888631
(주)기산텔레콤,035460,2012/12,33918079,31516647
(주)기산텔레콤,035460,2013/12,36087855,36517480
(주)기산텔레콤,035460,2014/12,36429569,38506780
(주)기산텔레콤,035460,2015/12,38723216,42259485
(주)기산텔레콤,035460,2016/12,37420205,39870843
(주)기산텔레콤,035460,2017/12,35438291,34992274
(주)기산텔레콤,035460,2018/12,29246000,31640999
(주)기산텔레콤,035460,2019/12,31379895,34690961
(주)까뮤이앤씨,013700,2011/12,46083061,
(주)까뮤이앤씨,013700,2012/12,40763024,
(주)까뮤이앤씨,013700,2013/12,33715699,
(주)까뮤이앤씨,013700,2014/12,35697347,
(주)까뮤이앤씨,013700,2015/12,45786128,
(주)까뮤이앤씨,013700,2016/12,51113063,
(주)까뮤이앤씨,013700,2017/12,59106121,
(주)까뮤이앤씨,013700,2018/12,59562903,
(주)까뮤이앤씨,013700,2019/12,70932062,
(주)까스텔바작,308100,2019/12,77312548,76678226
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,31847169,42659926
(주)나노,187790,2016/12,27068246,34319308
(주)나노,187790,2017/12,37017160,44902238
(주)나노,187790,2018/12,44484099,59465317
(주)나노,187790,2019/12,47992724,62021912
(주)나노브릭,286750,2019/12,14149812,14149812
(주)나노신소재,121600,2011/12,58178847,58193875
(주)나노신소재,121600,2012/12,56696577,56592559
(주)나노신소재,121600,2013/12,57932739,57860945
(주)나노신소재,121600,2014/12,61576959,61578369
(주)나노신소재,121600,2015/12,73932499,73885201
(주)나노신소재,121600,2016/12,77643425,77589079
(주)나노신소재,121600,2017/12,82967807,82913399
(주)나노신소재,121600,2018/12,88802531,88855048
(주)나노신소재,121600,2019/12,93774861,93787590
(주)나노엔텍,039860,2011/12,29212068,28748071
(주)나노엔텍,039860,2012/12,22983479,22976602
(주)나노엔텍,039860,2013/12,25096460,23577971
(주)나노엔텍,039860,2014/12,38430723,35502372
(주)나노엔텍,039860,2015/12,49032474,38408344
(주)나노엔텍,039860,2016/12,27669734,25576796
(주)나노엔텍,039860,2017/12,26788106,23731000
(주)나노엔텍,039860,2018/12,38716209,35150401
(주)나노엔텍,039860,2019/12,45112180,41025691
(주)나무가,190510,2015/12,59685865,60274130
(주)나무가,190510,2016/12,71264453,71710818
(주)나무가,190510,2017/12,28107335,30589633
(주)나무가,190510,2018/12,38511623,35422440
(주)나무가,190510,2019/12,49646661,44268639
(주)나스미디어,089600,2013/12,56196308,
(주)나스미디어,089600,2014/12,62569324,
(주)나스미디어,089600,2015/12,69530971,
(주)나스미디어,089600,2016/12,98227596,104423228
(주)나스미디어,089600,2017/12,115839722,127769767
(주)나스미디어,089600,2018/12,124908468,141948762
(주)나스미디어,089600,2019/12,132550768,153131396
(주)나이벡,138610,2011/12,10301732,
(주)나이벡,138610,2012/12,8856747,
(주)나이벡,138610,2013/12,5822703,
(주)나이벡,138610,2014/12,5078980,
(주)나이벡,138610,2015/12,10818393,
(주)나이벡,138610,2016/12,9841184,
(주)나이벡,138610,2017/12,12361859,
(주)나이벡,138610,2018/12,10575969,
(주)나이벡,138610,2019/12,27404041,
(주)나이스디앤비,130580,2011/12,18442040,
(주)나이스디앤비,130580,2012/12,20520620,
(주)나이스디앤비,130580,2013/12,22820926,
(주)나이스디앤비,130580,2014/12,25404428,
(주)나이스디앤비,130580,2015/12,28572652,29892463
(주)나이스디앤비,130580,2016/12,32232265,33730728
(주)나이스디앤비,130580,2017/12,35612084,38536096
(주)나이스디앤비,130580,2018/12,40955406,45199660
(주)나이스디앤비,130580,2019/12,46837210,60090077
(주)나이스홀딩스,034310,2011/12,257761410,322296903
(주)나이스홀딩스,034310,2012/12,316297089,394674902
(주)나이스홀딩스,034310,2013/12,320113373,570818310
(주)나이스홀딩스,034310,2014/12,324733065,667095981
(주)나이스홀딩스,034310,2015/12,310980541,695351005
(주)나이스홀딩스,034310,2016/12,325078660,773235269
(주)나이스홀딩스,034310,2017/12,325609688,877935796
(주)나이스홀딩스,034310,2018/12,336349524,1040008134
(주)나이스홀딩스,034310,2019/12,334729120,1223621083
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,43707424,74233806
(주)남선알미늄,008350,2012/12,61332987,
(주)남선알미늄,008350,2013/12,70827737,
(주)남선알미늄,008350,2014/12,87467920,
(주)남선알미늄,008350,2015/12,103068147,
(주)남선알미늄,008350,2016/12,122569267,
(주)남선알미늄,008350,2017/12,147809531,
(주)남선알미늄,008350,2018/12,168875400,168719762
(주)남선알미늄,008350,2019/12,176357497,179100254
(주)남성,004270,2011/12,80448918,86423919
(주)남성,004270,2012/12,81342149,79934314
(주)남성,004270,2013/12,81514206,78184930
(주)남성,004270,2014/12,80188502,72641729
(주)남성,004270,2015/12,82206186,70994437
(주)남성,004270,2016/12,74053481,73385506
(주)남성,004270,2017/12,87590384,87392856
(주)남성,004270,2018/12,83103125,82768164
(주)남성,004270,2019/12,86166403,85924082
(주)내츄럴엔도텍,168330,2013/12,50779888,
(주)내츄럴엔도텍,168330,2014/12,71648115,
(주)내츄럴엔도텍,168330,2015/12,49082284,50463160
(주)내츄럴엔도텍,168330,2016/12,46208860,47296929
(주)내츄럴엔도텍,168330,2017/12,45760762,54719456
(주)내츄럴엔도텍,168330,2018/12,34261443,36487302
(주)내츄럴엔도텍,168330,2019/12,18938805,20483129
(주)네오리진,094860,2011/12,23488831,30439412
(주)네오리진,094860,2012/12,26662888,
(주)네오리진,094860,2013/12,22428980,
(주)네오리진,094860,2014/12,11993150,
(주)네오리진,094860,2015/12,10969912,
(주)네오리진,094860,2016/12,11809547,
(주)네오리진,094860,2017/12,14601651,14546111
(주)네오리진,094860,2018/12,11789790,
(주)네오리진,094860,2019/12,10818182,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,37019001,37494457
(주)네오오토,212560,2015/12,61349142,
(주)네오오토,212560,2016/12,69048419,
(주)네오오토,212560,2017/12,72509574,
(주)네오오토,212560,2018/12,77540065,
(주)네오오토,212560,2019/12,79358492,
(주)네오위즈,095660,2011/12,268512261,272933090
(주)네오위즈,095660,2012/12,305625409,288492496
(주)네오위즈,095660,2013/12,360058072,295827208
(주)네오위즈,095660,2014/12,362210560,284837352
(주)네오위즈,095660,2015/12,359269020,264287860
(주)네오위즈,095660,2016/12,355597288,271054566
(주)네오위즈,095660,2017/12,330102352,264748208
(주)네오위즈,095660,2018/12,325841070,298839710
(주)네오위즈,095660,2019/12,324764441,328878043
(주)네오위즈홀딩스,042420,2011/12,242704495,374990578
(주)네오위즈홀딩스,042420,2012/12,265778788,385155307
(주)네오위즈홀딩스,042420,2013/12,262310566,416240481
(주)네오위즈홀딩스,042420,2014/12,272035937,467487690
(주)네오위즈홀딩스,042420,2015/12,347681208,492854028
(주)네오위즈홀딩스,042420,2016/12,325184384,479007316
(주)네오위즈홀딩스,042420,2017/12,311520065,476382219
(주)네오위즈홀딩스,042420,2018/12,303628909,516278245
(주)네오위즈홀딩스,042420,2019/12,304420700,549250922
(주)네오크레마,311390,2019/12,37939688,37866534
(주)네오티스,085910,2011/12,59050937,
(주)네오티스,085910,2012/12,60149295,
(주)네오티스,085910,2013/12,60510748,60663141
(주)네오티스,085910,2014/12,63323708,63977931
(주)네오티스,085910,2015/12,58634491,59903389
(주)네오티스,085910,2016/12,56144079,56347189
(주)네오티스,085910,2017/12,46102243,46080092
(주)네오티스,085910,2018/12,45394703,44553303
(주)네오티스,085910,2019/12,44318521,43683942
(주)네오팜,092730,2011/12,29871983,
(주)네오팜,092730,2012/12,29923684,
(주)네오팜,092730,2013/12,30335980,
(주)네오팜,092730,2014/12,31145609,
(주)네오팜,092730,2015/12,32623689,
(주)네오팜,092730,2016/12,39065380,38570892
(주)네오팜,092730,2017/12,48683943,47581915
(주)네오팜,092730,2018/12,60831086,59287229
(주)네오팜,092730,2019/12,106137157,105692614
(주)네오펙트,290660,2018/12,34312283,28251461
(주)네오펙트,290660,2019/12,17133048,12554670
(주)네온테크,306620,2018/12,,
(주)네온테크,306620,2019/12,,
(주)네이블커뮤니케이션즈,153460,2012/12,23527466,
