,회사명,거래소코드,회계년도,부실징후기업,한계기업
4662,(주)백금티앤에이,46310,2014/12,1.0,1.0
4669,(주)백산,35150,2001/12,1.0,1.0
4694,(주)버킷스튜디오,66410,2007/12,1.0,1.0
4710,(주)베노홀딩스,206400,2017/12,1.0,1.0
4766,(주)보락,2760,2001/12,1.0,1.0
4832,(주)부방,14470,2002/06,1.0,1.0
4898,(주)브이티지엠피,18290,2002/09,1.0,1.0
4927,(주)블루베리엔에프티,44480,2011/12,1.0,1.0
4964,(주)비덴트,121800,2016/12,1.0,1.0
4973,(주)비보존헬스케어,82800,2007/12,1.0,1.0
4991,(주)비비안,2070,2005/06,1.0,1.0
5041,(주)비아트론,141000,2007/12,1.0,1.0
5073,(주)비엔지티,32790,2003/12,1.0,1.0
5092,(주)비엘,142760,2011/12,1.0,1.0
5110,(주)비엘팜텍,65170,2009/12,1.0,1.0
5186,(주)비츠로셀,82920,2001/12,1.0,1.0
5218,(주)비츠로시스,54220,2015/03,1.0,1.0
5249,(주)비케이홀딩스,50090,2008/12,1.0,1.0
5267,(주)비트컴퓨터,32850,2002/12,1.0,1.0
5317,(주)빅텍,65450,2012/12,1.0,1.0
5357,(주)사조대림,3960,2001/03,1.0,1.0
5377,(주)사조오양,6090,2001/03,1.0,1.0
5405,(주)삼기,122350,2019/12,1.0,1.0
5406,(주)삼보판지,23600,2000/12,1.0,1.0
5491,(주)삼에스코리아,60310,2006/03,1.0,1.0
5510,(주)삼영에스앤씨,361670,2007/12,1.0,1.0
5537,(주)삼익악기,2450,2001/12,1.0,1.0
5563,(주)삼일,32280,2007/12,1.0,1.0
5601,(주)삼일씨엔에스,4440,2005/12,1.0,1.0
5617,(주)삼진,32750,2001/12,1.0,1.0
5643,(주)삼진엘앤디,54090,2007/12,1.0,1.0
5681,(주)삼표시멘트,38500,2005/12,1.0,1.0
5699,(주)삼화네트웍스,46390,2003/12,1.0,1.0
5731,(주)상보,27580,2015/12,1.0,1.0
5743,(주)상상인,38540,2007/12,1.0,1.0
5761,(주)상상인인더스트리,101000,2011/12,1.0,1.0
5791,(주)상지카일룸,42940,2001/12,1.0,1.0
5840,(주)서남,294630,2012/12,1.0,1.0
5868,(주)서부티엔디,6730,2001/12,1.0,1.0
5889,(주)서산,79650,2006/12,1.0,1.0
5921,(주)서연,7860,2018/12,1.0,1.0
5927,(주)서연이화,200880,2018/12,1.0,1.0
5948,(주)서연탑메탈,19770,2019/12,1.0,1.0
5956,(주)서울리거,43710,2007/12,1.0,1.0
5977,(주)서울옥션,63170,2010/12,1.0,1.0
6003,(주)서울제약,18680,2016/12,1.0,1.0
6019,(주)서원,21050,2012/12,1.0,1.0
6074,(주)서진오토모티브,122690,2018/12,1.0,1.0
6078,(주)서플러스글로벌,140070,2009/12,1.0,1.0
6090,(주)서한,11370,2001/12,1.0,1.0
6140,(주)서희건설,35890,2011/12,1.0,1.0
6164,(주)선광,3100,2006/12,1.0,1.0
6179,(주)선앤엘,2820,2001/09,1.0,1.0
6200,(주)선익시스템,171090,2003/12,1.0,1.0
6244,(주)성광벤드,14620,2018/12,1.0,1.0
6268,(주)성안,11300,2002/12,1.0,1.0
6288,(주)성우하이텍,15750,2002/12,1.0,1.0
6322,(주)성창오토텍,80470,2019/12,1.0,1.0
6338,(주)세동,53060,2006/12,1.0,1.0
6390,(주)세아베스틸지주,1430,2001/12,1.0,1.0
6471,(주)세우글로벌,13000,2001/12,1.0,1.0
6522,(주)세원물산,24830,2013/12,1.0,1.0
6547,(주)세원정공,21820,2018/06,1.0,1.0
6630,(주)세진티에스,67770,2017/12,1.0,1.0
6655,(주)세토피아,222810,2017/12,1.0,1.0
6679,(주)센트랄모텍,308170,2012/12,1.0,1.0
6691,(주)센트럴인사이트,12600,2004/12,1.0,1.0
6709,(주)셀레믹스,331920,2016/12,1.0,1.0
6713,(주)셀루메드,49180,2004/12,1.0,1.0
6734,(주)셀리버리,268600,2017/12,1.0,1.0
6745,(주)셀바스에이아이,108860,2015/12,1.0,1.0
6753,(주)셀바스헬스케어,208370,2017/12,1.0,1.0
6781,(주)셀트리온제약,68760,2009/12,1.0,1.0
6794,(주)셀트리온헬스케어,91990,2007/12,1.0,1.0
6809,(주)셀피글로벌,68940,2004/12,1.0,1.0
6829,(주)소룩스,290690,2012/12,1.0,1.0
6839,(주)소프트센,32680,2001/09,1.0,1.0
6864,(주)손오공,66910,2006/12,1.0,1.0
6883,(주)솔고바이오메디칼,43100,2005/12,1.0,1.0
6900,(주)솔루에타,154040,2009/12,1.0,1.0
6913,(주)솔루엠,248070,2018/12,1.0,1.0
6916,(주)솔본,35610,2001/12,1.0,1.0
6941,(주)솔트룩스,304100,2019/12,1.0,1.0
6944,(주)쇼박스,86980,2002/12,1.0,1.0
6994,(주)수산중공업,17550,2001/12,1.0,1.0
7015,(주)수젠텍,253840,2016/12,1.0,1.0
7062,(주)스마트솔루션즈,136510,2019/12,1.0,1.0
7076,(주)스맥,99440,2019/12,1.0,1.0
7086,(주)스카이문스테크놀로지,33790,2009/12,1.0,1.0
7103,(주)스킨앤스킨,159910,2014/12,1.0,1.0
7119,(주)스타플렉스,115570,2012/12,1.0,1.0
7130,(주)스튜디오산타클로스엔터테인먼트,204630,2017/12,1.0,1.0
7133,(주)스페코,13810,2000/12,1.0,1.0
7176,(주)시공테크,20710,2003/12,1.0,1.0
7198,(주)시너지이노베이션,48870,2009/12,1.0,1.0
7218,(주)시노펙스,25320,2009/12,1.0,1.0
7245,(주)시큐브,131090,2004/12,1.0,1.0
7270,(주)시티랩스,139050,2016/12,1.0,1.0
7299,(주)신성이엔지,11930,2001/12,1.0,1.0
7430,(주)신원,9270,2012/12,1.0,1.0
7471,(주)신화다이나믹스,1770,2017/12,1.0,1.0
7482,(주)신화콘텍,187270,2019/12,1.0,1.0
7518,(주)심텍홀딩스,36710,2002/12,1.0,1.0
7553,(주)싸이토젠,217330,2016/12,1.0,1.0
7563,(주)쌍방울,102280,2014/12,1.0,1.0
7572,(주)썸에이지,208640,2017/12,1.0,1.0
7579,(주)쎄노텍,222420,2019/12,1.0,1.0
7580,(주)쎄니트,37760,2000/12,1.0,1.0
7617,(주)쎌마테라퓨틱스,15540,2001/12,1.0,1.0
7674,(주)쏠리드,50890,2019/12,1.0,1.0
7686,(주)씨씨에스충북방송,66790,2011/12,1.0,1.0
7698,(주)씨아이테크,4920,2003/12,1.0,1.0
7727,(주)씨앤투스성진,352700,2018/12,1.0,1.0
7739,(주)씨에스,65770,2010/12,1.0,1.0
7758,(주)씨에스에이코스믹,83660,2011/12,1.0,1.0
7774,(주)씨엔플러스,115530,2014/12,1.0,1.0
7787,(주)씨유메디칼시스템,115480,2014/12,1.0,1.0
7796,(주)씨이랩,189330,2014/12,1.0,1.0
7852,(주)씨티씨바이오,60590,2017/12,1.0,1.0
7874,(주)아가방앤컴퍼니,13990,2015/12,1.0,1.0
7890,(주)아나패스,123860,2019/12,1.0,1.0
7895,(주)아난티,25980,2004/12,1.0,1.0
7916,(주)아리온테크놀로지,58220,2007/12,1.0,1.0
8000,(주)아미노로직스,74430,2006/12,1.0,1.0
8039,(주)아바텍,149950,2009/12,1.0,1.0
8052,(주)아세아텍,50860,2002/06,1.0,1.0
8071,(주)아센디오,12170,2001/12,1.0,1.0
8101,(주)아스타,246720,2017/12,1.0,1.0
8109,(주)아스트,67390,2007/12,1.0,1.0
8126,(주)아스플로,159010,2009/12,1.0,1.0
8241,(주)아이씨디,40910,2015/09,1.0,1.0
8251,(주)아이앤씨테크놀로지,52860,2003/12,1.0,1.0
8285,(주)아이에스이커머스,69920,2004/12,1.0,1.0
8303,(주)아이에이,38880,2002/12,1.0,1.0
8322,(주)아이에이치큐,3560,2001/12,1.0,1.0
8354,(주)아이엠,101390,2017/12,1.0,1.0
8379,(주)아이오케이컴퍼니,78860,2009/12,1.0,1.0
8407,(주)아이윈,90150,2018/12,1.0,1.0
8412,(주)아이윈플러스,123010,2011/12,1.0,1.0
8421,(주)아이즈비전,31310,2000/12,1.0,1.0
8452,(주)아이컴포넌트,59100,2013/12,1.0,1.0
8476,(주)아이톡시,52770,2012/12,1.0,1.0
8503,(주)아이티엑스에이아이,99520,2011/12,1.0,1.0
8522,(주)아이티엠반도체,84850,2015/12,1.0,1.0
8581,(주)아톤,158430,2008/12,1.0,1.0
8631,(주)안트로젠,65660,2019/12,1.0,1.0
8635,(주)알루코,1780,2001/12,1.0,1.0
8671,(주)알에프세미,96610,2018/12,1.0,1.0
8680,(주)알에프텍,61040,2008/12,1.0,1.0
8706,(주)알테오젠,196170,2017/12,1.0,1.0
8715,(주)알톤스포츠,123750,2016/12,1.0,1.0
8721,(주)알티캐스트,85810,2003/12,1.0,1.0
8748,(주)알파홀딩스,117670,2017/12,1.0,1.0
8753,(주)압타머사이언스,291650,2018/12,1.0,1.0
8759,(주)애드바이오텍,179530,2018/12,1.0,1.0
8763,(주)액션스퀘어,205500,2016/12,1.0,1.0
8809,(주)앤씨앤,92600,2013/12,1.0,1.0
8855,(주)어스앤에어로스페이스,263540,2019/12,1.0,1.0
8890,(주)에넥스,11090,2009/12,1.0,1.0
8916,(주)에스디시스템,121890,2017/12,1.0,1.0
8968,(주)에스씨디,42110,2009/03,1.0,1.0
8982,(주)에스아이리소스,65420,2003/12,1.0,1.0
9009,(주)에스앤더블류,103230,2012/12,1.0,1.0
9026,(주)에스앤디,260970,2014/12,1.0,1.0
9034,(주)에스앤에스텍,101490,2004/12,1.0,1.0
9063,(주)에스에너지,95910,2019/12,1.0,1.0
9094,(주)에스에이티,60540,2008/12,1.0,1.0
9135,(주)에스에프에이반도체,36540,2009/12,1.0,1.0
9151,(주)에스엘바이오닉스,214310,2017/12,1.0,1.0
9160,(주)에스엠라이프디자인그룹,63440,2007/12,1.0,1.0
9174,(주)에스엠벡셀,10580,2001/12,1.0,1.0
9200,(주)에스엠엔터테인먼트,41510,2007/12,1.0,1.0
9217,(주)에스엠컬처앤콘텐츠,48550,2004/12,1.0,1.0
9308,(주)에스지글로벌,1380,2001/12,1.0,1.0
9340,(주)에스지세계물산,4060,2013/12,1.0,1.0
9352,(주)에스지엔지,40610,2005/12,1.0,1.0
9372,(주)에스코넥,96630,2009/12,1.0,1.0
9397,(주)에스텍파마,41910,2015/12,1.0,1.0
9409,(주)에스티아이,39440,2007/12,1.0,1.0
9430,(주)에스티오,98660,2014/12,1.0,1.0
9441,(주)에스티큐브,52020,2005/12,1.0,1.0
9458,(주)에스폴리텍,50760,2003/12,1.0,1.0
9541,(주)에쎈테크,43340,2012/12,1.0,1.0
9552,(주)에이디칩스,54630,2003/12,1.0,1.0
9579,(주)에이디테크놀로지,200710,2017/12,1.0,1.0
9592,(주)에이루트,96690,2017/12,1.0,1.0
9622,(주)에이비프로바이오,195990,2018/12,1.0,1.0
9655,(주)에이스테크놀로지,88800,2017/12,1.0,1.0
9666,(주)에이엔피,15260,2002/12,1.0,1.0
9690,(주)에이치비테크놀러지,78150,2007/12,1.0,1.0
9752,(주)에이치와이티씨,148930,2015/12,1.0,1.0
9759,(주)에이치케이,44780,2002/12,1.0,1.0
9813,(주)에이트원,230980,2018/12,1.0,1.0
9819,(주)에이티세미콘,89530,2006/12,1.0,1.0
9842,(주)에이팩트,200470,2016/12,1.0,1.0
9863,(주)에이프로젠,7460,2011/12,1.0,1.0
9877,(주)에이프로젠헬스케어앤게임즈,109960,2012/12,1.0,1.0
9944,(주)에프알텍,73540,2016/12,1.0,1.0
9975,(주)에프앤리퍼블릭,64090,2008/12,1.0,1.0
10014,(주)에프에스티,36810,2002/12,1.0,1.0
10040,(주)에프엔씨엔터테인먼트,173940,2019/12,1.0,1.0
10048,(주)엑사이엔씨,54940,2007/12,1.0,1.0
10065,(주)엑세스바이오인코퍼레이션,950130,2016/12,1.0,1.0
10077,(주)엑시콘,92870,2009/12,1.0,1.0
10101,(주)엔비티,236810,2019/12,1.0,1.0
10126,(주)엔아이스틸,8260,2001/12,1.0,1.0
10154,(주)엔에스엔,31860,2002/12,1.0,1.0
10212,(주)엔지스테크널러지,208860,2018/12,1.0,1.0
10216,(주)엔지켐생명과학,183490,2009/12,1.0,1.0
10227,(주)엔케이,85310,2000/12,1.0,1.0
10249,(주)엔케이맥스,182400,2014/12,1.0,1.0
10269,(주)엔텔스,69410,2009/12,1.0,1.0
10315,(주)엔피케이,48830,2019/12,1.0,1.0
10353,(주)엘아이에스,138690,2013/12,1.0,1.0
10377,(주)엘앤에프,66970,2013/12,1.0,1.0
10391,(주)엘앤케이바이오메드,156100,2018/12,1.0,1.0
10425,(주)엘에스네트웍스,680,2012/12,1.0,1.0
10635,(주)엠게임,58630,2012/12,1.0,1.0
10687,(주)엠아이텍,179290,2008/12,1.0,1.0
10775,(주)엠플러스,259630,2012/12,1.0,1.0
10792,(주)엠피대산,65150,2016/12,1.0,1.0
10852,(주)영우디에스피,143540,2012/12,1.0,1.0
10893,(주)영풍,670,2002/12,1.0,1.0
10913,(주)영흥,12160,2004/12,1.0,1.0
10934,(주)예림당,36000,2005/12,1.0,1.0
10981,(주)예스티,122640,2013/12,1.0,1.0
11045,(주)오로스테크놀로지,322310,2015/12,1.0,1.0
11064,(주)오르비텍,46120,2014/12,1.0,1.0
11081,(주)오리엔탈정공,14940,2011/12,1.0,1.0
11091,(주)오리엔트바이오,2630,2001/03,1.0,1.0
11121,(주)오리엔트정공,65500,2011/12,1.0,1.0
11155,(주)오리콤,10470,2002/12,1.0,1.0
11182,(주)오비고,352910,2014/12,1.0,1.0
11195,(주)오스코텍,39200,2009/12,1.0,1.0
11210,(주)오스테오닉,226400,2019/12,1.0,1.0
11213,(주)오스템,31510,2002/12,1.0,1.0
11233,(주)오이솔루션,138080,2008/12,1.0,1.0
11249,(주)오킨스전자,80580,2009/12,1.0,1.0
11328,(주)옵트론텍,82210,2008/12,1.0,1.0
11342,(주)옵티팜,153710,2015/12,1.0,1.0
11368,(주)와이비엠넷,57030,2016/12,1.0,1.0
11431,(주)와이오엠,66430,2004/12,1.0,1.0
11451,(주)와이제이엠게임즈,193250,2018/12,1.0,1.0
11502,(주)와이지플러스,37270,2013/12,1.0,1.0
11511,(주)와이투솔루션,11690,2002/12,1.0,1.0
11534,(주)와이티엔,40300,2005/12,1.0,1.0
11558,(주)용평리조트,70960,2003/06,1.0,1.0
11579,(주)우리기술,32820,2004/12,1.0,1.0
11610,(주)우리로,46970,2003/12,1.0,1.0
11632,(주)우성,6980,2005/12,1.0,1.0
11666,(주)우신시스템,17370,2019/12,1.0,1.0
11686,(주)우정바이오,215380,2018/12,1.0,1.0
11725,(주)우진,105840,2017/12,1.0,1.0
11755,(주)우진플라임,49800,2007/12,1.0,1.0
11780,(주)웅진,16880,2012/12,1.0,1.0
11851,(주)원익,32940,2008/12,1.0,1.0
11888,(주)원익큐브,14190,2008/12,1.0,1.0
11931,(주)원익홀딩스,30530,2002/12,1.0,1.0
11997,(주)월덱스,101160,2013/12,1.0,1.0
12013,(주)웨이브일렉트로닉스,95270,2012/12,1.0,1.0
12027,(주)웰크론,65950,2006/12,1.0,1.0
12054,(주)웰크론한텍,76080,2017/12,1.0,1.0
12066,(주)웹스,196700,2019/12,1.0,1.0
12075,(주)웹젠,69080,2008/12,1.0,1.0
12095,(주)위니아,71460,2008/12,1.0,1.0
12127,(주)위닉스,44340,2016/12,1.0,1.0
12157,(주)위메이드,112040,2019/12,1.0,1.0
12168,(주)위메이드맥스,101730,2016/12,1.0,1.0
12224,(주)위지트,36090,2002/12,1.0,1.0
12255,(주)윈팩,97800,2009/12,1.0,1.0
12286,(주)윌비스,8600,2001/12,1.0,1.0
12343,(주)유니온,910,2018/12,1.0,1.0
12349,(주)유니온커뮤니티,203450,2008/12,1.0,1.0
12362,(주)유니켐,11330,2001/12,1.0,1.0
12381,(주)유니크,11320,2001/06,1.0,1.0
12405,(주)유니테스트,86390,2008/12,1.0,1.0
12464,(주)유바이오로직스,206650,2015/12,1.0,1.0
12470,(주)유비케어,32620,2001/12,1.0,1.0
12516,(주)유성티엔에스,24800,2006/12,1.0,1.0
12532,(주)유수홀딩스,700,2002/12,1.0,1.0
12562,(주)유신,54930,2012/12,1.0,1.0
12582,(주)유씨아이,38340,2012/12,1.0,1.0
12598,(주)유아이디,69330,2008/12,1.0,1.0
12623,(주)유유제약,220,2010/03,1.0,1.0
12641,(주)유진로봇,56080,2003/12,1.0,1.0
12682,(주)유테크,178780,2017/12,1.0,1.0
12687,(주)유티아이,179900,2015/12,1.0,1.0
12694,(주)유틸렉스,263050,2017/12,1.0,1.0
12731,(주)율호,72770,2008/12,1.0,1.0
12754,(주)이건홀딩스,39020,2011/12,1.0,1.0
12765,(주)이글루코퍼레이션,67920,2003/12,1.0,1.0
12830,(주)이노와이어리스,73490,2015/12,1.0,1.0
12839,(주)이노인스트루먼트,215790,2019/12,1.0,1.0
12842,(주)이노테라피,246960,2017/12,1.0,1.0
12894,(주)이랜텍,54210,2007/12,1.0,1.0
12928,(주)이루온,65440,2017/12,1.0,1.0
12970,(주)이브이수성,84180,2018/12,1.0,1.0
12982,(주)이브이첨단소재,131400,2015/12,1.0,1.0
13007,(주)이수앱지스,86890,2007/12,1.0,1.0
13026,(주)이수페타시스,7660,2006/12,1.0,1.0
13045,(주)이수화학,5950,2005/12,1.0,1.0
13060,(주)이스타코,15020,2000/12,1.0,1.0
13088,(주)이스트소프트,47560,2013/12,1.0,1.0
13119,(주)이아이디,93230,2011/12,1.0,1.0
13137,(주)이엔드디,101360,2015/12,1.0,1.0
13164,(주)이엔코퍼레이션,66980,2007/12,1.0,1.0
13180,(주)이엔플러스,74610,2006/12,1.0,1.0
13221,(주)이엠앤아이,83470,2010/12,1.0,1.0
13283,(주)이원,17940,2016/12,1.0,1.0
13289,(주)이월드,84680,2007/12,1.0,1.0
13320,(주)이지,37370,2008/12,1.0,1.0
13386,(주)이퓨쳐,134060,2012/12,1.0,1.0
13403,(주)인디에프,14990,2009/12,1.0,1.0
13436,(주)인바이오젠,101140,2010/12,1.0,1.0
13451,(주)인성정보,33230,2002/12,1.0,1.0
13470,(주)인스코비,6490,2001/12,1.0,1.0
13491,(주)인지디스플레이,37330,2002/12,1.0,1.0
13526,(주)인콘,83640,2019/12,1.0,1.0
13567,(주)인터플렉스,51370,2007/12,1.0,1.0
13590,(주)인텍플러스,64290,2014/12,1.0,1.0
13611,(주)인트로메딕,150840,2009/12,1.0,1.0
13622,(주)인트론바이오테크놀로지,48530,2000/12,1.0,1.0
13670,(주)인포마크,175140,2018/12,1.0,1.0
13698,(주)인피니트헬스케어,71200,2012/12,1.0,1.0
13724,(주)일신석재,7110,2001/12,1.0,1.0
13747,(주)일야,58450,2004/12,1.0,1.0
