회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원)
(주)강스템바이오텍,217730,2015/12,2980005,
(주)강스템바이오텍,217730,2016/12,4039297,
(주)강스템바이오텍,217730,2017/12,12480829,13229478
(주)강스템바이오텍,217730,2018/12,14220013,15140205
(주)강스템바이오텍,217730,2019/12,22738650,31219524
(주)강원랜드,035250,2011/12,1302068954,1312308962
(주)강원랜드,035250,2012/12,1334113267,1357670542
(주)강원랜드,035250,2013/12,1327018456,1385719165
(주)강원랜드,035250,2014/12,1284798892,1387584592
(주)강원랜드,035250,2015/12,1253601276,1353560925
(주)강원랜드,035250,2016/12,1254129261,1315715882
(주)강원랜드,035250,2017/12,1253403658,1297980610
(주)강원랜드,035250,2018/12,1299058388,1314038393
(주)강원랜드,035250,2019/12,1353732478,1370568026
(주)강원에너지,114190,2011/11,3912294,
(주)강원에너지,114190,2012/12,4416402,
(주)강원에너지,114190,2013/12,4787448,
(주)강원에너지,114190,2014/12,10004091,
(주)강원에너지,114190,2015/12,9712091,12847843
(주)강원에너지,114190,2016/12,9490734,14792058
(주)강원에너지,114190,2017/12,9242859,15392067
(주)강원에너지,114190,2018/12,8853092,14771745
(주)강원에너지,114190,2019/12,9089689,10387938
(주)갤럭시아에스엠,011420,2011/12,263856,746008
(주)갤럭시아에스엠,011420,2012/12,244196,3386965
(주)갤럭시아에스엠,011420,2013/12,258052,3092608
(주)갤럭시아에스엠,011420,2014/12,170073,3055021
(주)갤럭시아에스엠,011420,2015/12,428742,2905233
(주)갤럭시아에스엠,011420,2016/12,468225,2588337
(주)갤럭시아에스엠,011420,2017/12,348574,364072
(주)갤럭시아에스엠,011420,2018/12,251603,251603
(주)갤럭시아에스엠,011420,2019/12,511985,511985
(주)경농,002100,2011/12,47135730,49541176
(주)경농,002100,2012/12,51459712,93105654
(주)경농,002100,2013/12,55088070,101211463
(주)경농,002100,2014/12,60743502,118629306
(주)경농,002100,2015/12,60862714,122071383
(주)경농,002100,2016/12,60986166,133213483
(주)경농,002100,2017/12,61075339,140283689
(주)경농,002100,2018/12,67819776,142669413
(주)경농,002100,2019/12,64128521,139475078
(주)경동나비엔,009450,2011/12,71463183,103309756
(주)경동나비엔,009450,2012/12,86003940,120050563
(주)경동나비엔,009450,2013/12,148703601,184422743
(주)경동나비엔,009450,2014/12,133081097,190970831
(주)경동나비엔,009450,2015/12,134166342,195089500
(주)경동나비엔,009450,2016/12,138398427,203718091
(주)경동나비엔,009450,2017/12,143721378,221945791
(주)경동나비엔,009450,2018/12,157575992,248979361
(주)경동나비엔,009450,2019/12,165763623,278770581
(주)경동도시가스,267290,2017/12,316263778,316816604
(주)경동도시가스,267290,2018/12,320275132,320713747
(주)경동도시가스,267290,2019/12,325567581,325975219
(주)경동인베스트,012320,2011/12,265516704,302120078
(주)경동인베스트,012320,2012/12,279769365,302039515
(주)경동인베스트,012320,2013/12,293643578,322577481
(주)경동인베스트,012320,2014/12,299563689,436240540
(주)경동인베스트,012320,2015/12,317414775,478535233
(주)경동인베스트,012320,2016/12,320740081,490371394
(주)경동인베스트,012320,2017/12,9664453,177264156
(주)경동인베스트,012320,2018/12,12131746,176391871
(주)경동인베스트,012320,2019/12,2798610,170491064
(주)경방,000050,2011/12,307701501,308454057
(주)경방,000050,2012/12,301773723,324064120
(주)경방,000050,2013/12,280675994,306515477
(주)경방,000050,2014/12,269480797,307855729
(주)경방,000050,2015/12,258275719,325770660
(주)경방,000050,2016/12,248710695,315500908
(주)경방,000050,2017/12,229435458,310601150
(주)경방,000050,2018/12,214332809,285829683
(주)경방,000050,2019/12,64860661,145683128
(주)경보제약,214390,2015/12,74892236,
(주)경보제약,214390,2016/12,83949070,
(주)경보제약,214390,2017/12,78497115,
(주)경보제약,214390,2018/12,76497132,
(주)경보제약,214390,2019/12,88116421,
(주)경인양행,012610,2011/12,69431560,136165573
(주)경인양행,012610,2012/12,67259638,124092900
(주)경인양행,012610,2013/12,72282759,127667556
(주)경인양행,012610,2014/12,77811393,135555605
(주)경인양행,012610,2015/12,76154669,136115404
(주)경인양행,012610,2016/12,77953872,137784128
(주)경인양행,012610,2017/12,86525558,149692038
(주)경인양행,012610,2018/12,90678289,155376235
(주)경인양행,012610,2019/12,119519529,194110502
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,47901220,
(주)고려시멘트,198440,2018/12,48776544,
(주)고려시멘트,198440,2019/12,51139394,
(주)고영테크놀러지,098460,2011/12,14869610,15041656
(주)고영테크놀러지,098460,2012/12,15336664,15547786
(주)고영테크놀러지,098460,2013/12,14690294,14825443
(주)고영테크놀러지,098460,2014/12,19812580,19958721
(주)고영테크놀러지,098460,2015/12,19340953,19713468
(주)고영테크놀러지,098460,2016/12,23462507,23842197
(주)고영테크놀러지,098460,2017/12,24158929,25337806
(주)고영테크놀러지,098460,2018/12,32377941,33117594
(주)고영테크놀러지,098460,2019/12,35418136,37283940
(주)골드앤에스,035290,2011/12,995140,1027834
(주)골드앤에스,035290,2012/12,851327,988045
(주)골드앤에스,035290,2013/12,810357,23605894
(주)골드앤에스,035290,2014/12,502559,22767398
(주)골드앤에스,035290,2015/12,299779,330937
(주)골드앤에스,035290,2016/12,193816,204183
(주)골드앤에스,035290,2017/12,336869,338535
(주)골드앤에스,035290,2018/12,11191043,11191043
(주)골드앤에스,035290,2019/12,3722968,3722968
(주)골드퍼시픽,038530,2011/12,10069863,
(주)골드퍼시픽,038530,2012/12,8743387,
(주)골드퍼시픽,038530,2013/12,7249195,9882790
(주)골드퍼시픽,038530,2014/12,5643164,9909463
(주)골드퍼시픽,038530,2015/12,2580222,2580222
(주)골드퍼시픽,038530,2016/12,1333057,
(주)골드퍼시픽,038530,2017/12,1297094,
(주)골드퍼시픽,038530,2018/12,83408,94653
(주)골드퍼시픽,038530,2019/12,908909,
(주)골프존,215000,2015/12,74039599,77871991
(주)골프존,215000,2016/12,69486714,73081406
(주)골프존,215000,2017/12,66800539,71606171
(주)골프존,215000,2018/12,81753994,83642928
(주)골프존,215000,2019/12,110267389,115927449
(주)골프존뉴딘홀딩스,121440,2011/12,49239742,52306467
(주)골프존뉴딘홀딩스,121440,2012/12,136357274,198231941
(주)골프존뉴딘홀딩스,121440,2013/12,136081977,222285916
(주)골프존뉴딘홀딩스,121440,2014/12,178117980,454297223
(주)골프존뉴딘홀딩스,121440,2015/12,98347480,401308099
(주)골프존뉴딘홀딩스,121440,2016/12,98552925,398579767
(주)골프존뉴딘홀딩스,121440,2017/12,92900686,394254656
(주)골프존뉴딘홀딩스,121440,2018/12,83633825,380012689
(주)골프존뉴딘홀딩스,121440,2019/12,70002997,360513819
(주)광림,014200,2011/12,23759906,
(주)광림,014200,2012/12,23876350,
(주)광림,014200,2013/12,23947251,
(주)광림,014200,2014/12,23724344,56739580
(주)광림,014200,2015/12,24452723,
(주)광림,014200,2016/12,25674614,70932936
(주)광림,014200,2017/12,26240529,58197036
(주)광림,014200,2018/12,24128152,59154003
(주)광림,014200,2019/12,23627901,60314708
(주)광명전기,017040,2011/12,11465013,20386015
(주)광명전기,017040,2012/12,11648472,18456738
(주)광명전기,017040,2013/12,11245458,17081607
(주)광명전기,017040,2014/12,12676386,17811443
(주)광명전기,017040,2015/12,12392219,17802534
(주)광명전기,017040,2016/12,12127197,19037693
(주)광명전기,017040,2017/12,15402240,34515922
(주)광명전기,017040,2018/12,21240625,39291851
(주)광명전기,017040,2019/12,20755434,26207863
(주)광무,029480,2011/12,17456144,18150942
(주)광무,029480,2012/12,12347204,12485607
(주)광무,029480,2013/12,10935118,11030800
(주)광무,029480,2014/12,8657715,
(주)광무,029480,2015/12,8108941,
(주)광무,029480,2016/12,8053509,
(주)광무,029480,2017/12,7752645,
(주)광무,029480,2018/12,7903725,8423811
(주)광무,029480,2019/12,2004796,3934491
(주)광주신세계,037710,2011/12,95759237,
(주)광주신세계,037710,2012/12,118344439,
(주)광주신세계,037710,2013/12,113548429,
(주)광주신세계,037710,2014/12,112432843,
(주)광주신세계,037710,2015/12,111688001,
(주)광주신세계,037710,2016/12,109768330,
(주)광주신세계,037710,2017/12,108947528,
(주)광주신세계,037710,2018/12,107893227,
(주)광주신세계,037710,2019/12,255366762,
(주)구영테크,053270,2011/12,26073978,79063199
(주)구영테크,053270,2012/12,31959958,83304389
(주)구영테크,053270,2013/12,32040532,82458455
(주)구영테크,053270,2014/12,31369668,85581135
(주)구영테크,053270,2015/12,33224421,90370617
(주)구영테크,053270,2016/12,37856179,97159369
(주)구영테크,053270,2017/12,56419110,108247080
(주)구영테크,053270,2018/12,71615647,131119419
(주)구영테크,053270,2019/12,71525354,123266501
(주)국동,005320,2011/12,71685,26139127
(주)국동,005320,2012/12,62414,23884364
(주)국동,005320,2013/12,102132,22012275
(주)국동,005320,2014/12,125789,25733379
(주)국동,005320,2015/12,124678,27576036
(주)국동,005320,2016/12,122290,38648210
(주)국동,005320,2017/12,126345,34391285
(주)국동,005320,2018/12,134369,34742472
(주)국동,005320,2019/12,130910,33086550
(주)국보,001140,2011/12,37844785,37874882
(주)국보,001140,2012/12,38507895,38720706
(주)국보,001140,2013/12,42150058,42306021
(주)국보,001140,2014/12,41186594,41286099
(주)국보,001140,2015/12,40409826,40424444
(주)국보,001140,2016/12,39652037,39656965
(주)국보,001140,2017/12,39364721,39367793
(주)국보,001140,2018/12,16527335,16528936
(주)국보,001140,2019/12,7137358,11466461
(주)국보디자인,066620,2011/12,1453461,1463106
(주)국보디자인,066620,2012/12,2230621,2235492
(주)국보디자인,066620,2013/12,2190348,2192604
(주)국보디자인,066620,2014/12,2596263,2596797
(주)국보디자인,066620,2015/12,6908270,6944107
(주)국보디자인,066620,2016/12,7420242,7447948
(주)국보디자인,066620,2017/12,7245407,7534909
(주)국보디자인,066620,2018/12,7072221,7133198
(주)국보디자인,066620,2019/12,8367291,8402801
(주)국순당,043650,2011/12,77006392,84687109
(주)국순당,043650,2012/12,74415222,82475314
(주)국순당,043650,2013/12,71314218,79653462
(주)국순당,043650,2014/12,63633133,72019399
(주)국순당,043650,2015/12,60756894,69161477
(주)국순당,043650,2016/12,56088957,64894851
(주)국순당,043650,2017/12,49398687,58039640
(주)국순당,043650,2018/12,58144452,66740222
(주)국순당,043650,2019/12,45386881,78685882
(주)국영지앤엠,006050,2011/12,31308145,
(주)국영지앤엠,006050,2012/12,32061920,
(주)국영지앤엠,006050,2013/12,31747733,
(주)국영지앤엠,006050,2014/12,32414094,
(주)국영지앤엠,006050,2015/12,31600586,
(주)국영지앤엠,006050,2016/12,31778265,
(주)국영지앤엠,006050,2017/12,31770240,
(주)국영지앤엠,006050,2018/12,30512052,
(주)국영지앤엠,006050,2019/12,31059486,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)그래디언트,035080,2011/12,1053189,43073285
(주)그래디언트,035080,2012/12,544723,51883877
(주)그래디언트,035080,2013/12,331316,59554095
(주)그래디언트,035080,2014/12,452405,58029509
(주)그래디언트,035080,2015/12,381565,56944366
(주)그래디언트,035080,2016/12,340527,57343683
(주)그래디언트,035080,2017/12,396437,58978788
(주)그래디언트,035080,2018/12,246356,66689968
(주)그래디언트,035080,2019/12,2819233,134794282
(주)그리티,204020,2018/12,564992,871796
(주)그리티,204020,2019/12,2197445,2969620
(주)그린플러스,186230,2019/12,17300012,32154120
(주)글로벌스탠다드테크놀로지,083450,2011/12,12023834,14216552
(주)글로벌스탠다드테크놀로지,083450,2012/12,15426808,17288952
(주)글로벌스탠다드테크놀로지,083450,2013/12,15695611,19295210
(주)글로벌스탠다드테크놀로지,083450,2014/12,15819399,19325095
(주)글로벌스탠다드테크놀로지,083450,2015/12,19974231,23552630
(주)글로벌스탠다드테크놀로지,083450,2016/12,22575187,26226965
(주)글로벌스탠다드테크놀로지,083450,2017/12,28387085,34287696
(주)글로벌스탠다드테크놀로지,083450,2018/12,31327306,38601941
(주)글로벌스탠다드테크놀로지,083450,2019/12,29774088,38458654
(주)금비,008870,2011/09,33684268,120536685
(주)금비,008870,2012/09,33385290,120094550
(주)금비,008870,2013/09,35596598,123102243
(주)금비,008870,2014/09,44581238,127524447
(주)금비,008870,2015/09,42769718,124166757
(주)금비,008870,2016/09,49550563,128792424
(주)금비,008870,2017/09,47186559,125836181
(주)금비,008870,2018/09,47371569,126619168
(주)금비,008870,2019/09,46877531,128141669
(주)금양,001570,2011/12,23407730,42139919
(주)금양,001570,2012/12,23401226,42998812
(주)금양,001570,2013/12,23186038,42071460
(주)금양,001570,2014/12,23087543,37202354
(주)금양,001570,2015/12,24649981,37772375
(주)금양,001570,2016/12,25256350,50960603
(주)금양,001570,2017/12,25514623,49447446
(주)금양,001570,2018/12,25664622,48579379
(주)금양,001570,2019/12,30964168,56212957
(주)금호에이치티,214330,2015/12,25050361,35130436
(주)금호에이치티,214330,2016/12,52902194,61937855
(주)금호에이치티,214330,2017/12,48127082,55754669
(주)금호에이치티,214330,2018/12,45118854,52872799
(주)금호에이치티,214330,2019/12,46469308,55766044
(주)금화피에스시,036190,2011/12,12869680,
(주)금화피에스시,036190,2012/12,14031715,
(주)금화피에스시,036190,2013/12,14635060,15533041
(주)금화피에스시,036190,2014/12,16432016,19289309
(주)금화피에스시,036190,2015/12,19034614,24594245
(주)금화피에스시,036190,2016/12,18821165,26614096
(주)금화피에스시,036190,2017/12,17661564,25379886
(주)금화피에스시,036190,2018/12,17430031,25554351
(주)금화피에스시,036190,2019/12,17526996,23969775
(주)기가레인,049080,2013/12,49153274,50711755
(주)기가레인,049080,2014/12,66100886,66351475
(주)기가레인,049080,2015/12,69704999,72467615
(주)기가레인,049080,2016/12,69374823,72641336
(주)기가레인,049080,2017/12,64041329,66976190
(주)기가레인,049080,2018/12,54575467,57511394
(주)기가레인,049080,2019/12,41844081,47049665
(주)기산텔레콤,035460,2011/12,453066,13715434
(주)기산텔레콤,035460,2012/12,526507,2510457
(주)기산텔레콤,035460,2013/12,589781,2038242
(주)기산텔레콤,035460,2014/12,504291,2260344
(주)기산텔레콤,035460,2015/12,419075,2004855
(주)기산텔레콤,035460,2016/12,349040,2276642
(주)기산텔레콤,035460,2017/12,364498,2125925
(주)기산텔레콤,035460,2018/12,218698,1812418
(주)기산텔레콤,035460,2019/12,5931892,9337828
(주)까뮤이앤씨,013700,2011/12,53932952,
(주)까뮤이앤씨,013700,2012/12,31501983,
(주)까뮤이앤씨,013700,2013/12,34891163,
(주)까뮤이앤씨,013700,2014/12,35096062,
(주)까뮤이앤씨,013700,2015/12,43493965,
(주)까뮤이앤씨,013700,2016/12,48765560,
(주)까뮤이앤씨,013700,2017/12,49926590,
(주)까뮤이앤씨,013700,2018/12,50029469,
(주)까뮤이앤씨,013700,2019/12,49968394,
(주)까스텔바작,308100,2019/12,2236614,2533416
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,23465720,43868580
(주)나노,187790,2016/12,20917884,46777390
(주)나노,187790,2017/12,17957123,45960776
(주)나노,187790,2018/12,16137295,49638038
(주)나노,187790,2019/12,15094766,48390227
(주)나노브릭,286750,2019/12,12077543,12077543
(주)나노신소재,121600,2011/12,22301461,22355631
(주)나노신소재,121600,2012/12,21489947,21530653
(주)나노신소재,121600,2013/12,19568592,19604281
(주)나노신소재,121600,2014/12,18518625,18544568
(주)나노신소재,121600,2015/12,19395347,19412017
(주)나노신소재,121600,2016/12,18608147,18618771
(주)나노신소재,121600,2017/12,19909961,19968760
(주)나노신소재,121600,2018/12,20910762,20957813
(주)나노신소재,121600,2019/12,20294157,20329606
(주)나노엔텍,039860,2011/12,9849587,9849587
(주)나노엔텍,039860,2012/12,13068081,13068081
(주)나노엔텍,039860,2013/12,12620815,12620815
(주)나노엔텍,039860,2014/12,11931694,11931694
(주)나노엔텍,039860,2015/12,12824716,14781567
(주)나노엔텍,039860,2016/12,15445575,15445575
(주)나노엔텍,039860,2017/12,14107995,14107995
(주)나노엔텍,039860,2018/12,13403198,13404997
(주)나노엔텍,039860,2019/12,12777234,12778108
(주)나무가,190510,2015/12,2545888,47788308
(주)나무가,190510,2016/12,4978346,58925424
(주)나무가,190510,2017/12,3974209,55256149
(주)나무가,190510,2018/12,4627225,49416321
(주)나무가,190510,2019/12,3490309,76695432
(주)나스미디어,089600,2013/12,409061,
(주)나스미디어,089600,2014/12,333534,
(주)나스미디어,089600,2015/12,11719983,
(주)나스미디어,089600,2016/12,11173919,12068625
(주)나스미디어,089600,2017/12,10688135,11734663
(주)나스미디어,089600,2018/12,10653106,11954433
(주)나스미디어,089600,2019/12,10105451,11164505
(주)나이벡,138610,2011/12,7863330,
(주)나이벡,138610,2012/12,8200793,
(주)나이벡,138610,2013/12,7733958,
(주)나이벡,138610,2014/12,7151434,
(주)나이벡,138610,2015/12,7728822,
(주)나이벡,138610,2016/12,9174470,
(주)나이벡,138610,2017/12,9869545,
(주)나이벡,138610,2018/12,9869111,
(주)나이벡,138610,2019/12,11175491,
(주)나이스디앤비,130580,2011/12,278291,
(주)나이스디앤비,130580,2012/12,278931,
(주)나이스디앤비,130580,2013/12,283240,
(주)나이스디앤비,130580,2014/12,232373,
(주)나이스디앤비,130580,2015/12,324521,696967
(주)나이스디앤비,130580,2016/12,577053,966117
(주)나이스디앤비,130580,2017/12,777499,1106439
(주)나이스디앤비,130580,2018/12,837095,1108515
(주)나이스디앤비,130580,2019/12,3272110,5060672
(주)나이스홀딩스,034310,2011/12,20155329,63443220
(주)나이스홀딩스,034310,2012/12,9377050,71147429
(주)나이스홀딩스,034310,2013/12,20086656,188455218
(주)나이스홀딩스,034310,2014/12,24628999,329305795
(주)나이스홀딩스,034310,2015/12,22792798,264903790
(주)나이스홀딩스,034310,2016/12,20630682,249546764
(주)나이스홀딩스,034310,2017/12,18897288,265260736
(주)나이스홀딩스,034310,2018/12,19967663,433178694
(주)나이스홀딩스,034310,2019/12,20486082,541260189
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)남선알미늄,008350,2011/12,71247421,71247421
(주)남선알미늄,008350,2012/12,68426940,
(주)남선알미늄,008350,2013/12,67101276,
(주)남선알미늄,008350,2014/12,67327465,
(주)남선알미늄,008350,2015/12,65054086,
(주)남선알미늄,008350,2016/12,64128985,
(주)남선알미늄,008350,2017/12,62102017,
(주)남선알미늄,008350,2018/12,76005893,76005893
(주)남선알미늄,008350,2019/12,73576503,73576503
(주)남성,004270,2011/12,3769195,8398719
(주)남성,004270,2012/12,3686119,8238694
(주)남성,004270,2013/12,3506039,7951953
(주)남성,004270,2014/12,3484352,7951744
(주)남성,004270,2015/12,3367484,7734219
(주)남성,004270,2016/12,3503076,7796503
(주)남성,004270,2017/12,3491087,7667537
(주)남성,004270,2018/12,3439734,7533970
(주)남성,004270,2019/12,3686095,8013568
(주)내츄럴엔도텍,168330,2013/12,10774567,
(주)내츄럴엔도텍,168330,2014/12,45276729,
(주)내츄럴엔도텍,168330,2015/12,31999951,31999951
(주)내츄럴엔도텍,168330,2016/12,31246832,31246832
(주)내츄럴엔도텍,168330,2017/12,30426985,36114547
(주)내츄럴엔도텍,168330,2018/12,29371147,33164764
(주)내츄럴엔도텍,168330,2019/12,28751139,30323031
(주)네오리진,094860,2011/12,2028449,12807994
(주)네오리진,094860,2012/12,2152675,
(주)네오리진,094860,2013/12,1740215,
(주)네오리진,094860,2014/12,1129040,
(주)네오리진,094860,2015/12,477781,
(주)네오리진,094860,2016/12,468948,
(주)네오리진,094860,2017/12,565154,663651
(주)네오리진,094860,2018/12,548927,
(주)네오리진,094860,2019/12,762082,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,12039164,12347696
(주)네오오토,212560,2015/12,80077528,
(주)네오오토,212560,2016/12,94757821,
(주)네오오토,212560,2017/12,95640623,
(주)네오오토,212560,2018/12,101365834,
(주)네오오토,212560,2019/12,96759498,
(주)네오위즈,095660,2011/12,108672728,117126350
(주)네오위즈,095660,2012/12,104415862,110341868
(주)네오위즈,095660,2013/12,99605642,105832406
(주)네오위즈,095660,2014/12,2161334,5375316
(주)네오위즈,095660,2015/12,876788,3514426
(주)네오위즈,095660,2016/12,627259,4894337
(주)네오위즈,095660,2017/12,905056,6152261
(주)네오위즈,095660,2018/12,27993826,51206624
(주)네오위즈,095660,2019/12,53883075,76647275
(주)네오위즈홀딩스,042420,2011/12,81688,95923112
(주)네오위즈홀딩스,042420,2012/12,58306,88993725
(주)네오위즈홀딩스,042420,2013/12,32286,85940955
(주)네오위즈홀딩스,042420,2014/12,5017,9298715
(주)네오위즈홀딩스,042420,2015/12,36280,3970079
(주)네오위즈홀딩스,042420,2016/12,20296,5362660
(주)네오위즈홀딩스,042420,2017/12,5080,6379285
(주)네오위즈홀딩스,042420,2018/12,9,54445076
(주)네오위즈홀딩스,042420,2019/12,2249,79308137
(주)네오크레마,311390,2019/12,21508692,21695189
(주)네오티스,085910,2011/12,22227793,
(주)네오티스,085910,2012/12,35847953,
(주)네오티스,085910,2013/12,33688429,37139151
(주)네오티스,085910,2014/12,30512691,34152755
(주)네오티스,085910,2015/12,29245287,32427436
(주)네오티스,085910,2016/12,27395809,29969699
(주)네오티스,085910,2017/12,27441976,29588812
(주)네오티스,085910,2018/12,26252300,28022275
(주)네오티스,085910,2019/12,27839528,32544202
(주)네오팜,092730,2011/12,10145075,
(주)네오팜,092730,2012/12,9529956,
(주)네오팜,092730,2013/12,8957444,
(주)네오팜,092730,2014/12,8416285,
(주)네오팜,092730,2015/12,8259080,
(주)네오팜,092730,2016/12,8632198,8635472
(주)네오팜,092730,2017/12,8915166,8917711
(주)네오팜,092730,2018/12,10439493,10440585
(주)네오팜,092730,2019/12,10240262,10240262
(주)네오펙트,290660,2018/12,4432416,4991753
(주)네오펙트,290660,2019/12,11534421,12931084
(주)네온테크,306620,2018/12,,
(주)네온테크,306620,2019/12,,
(주)네이블커뮤니케이션즈,153460,2012/12,8165382,
(주)네이블커뮤니케이션즈,153460,2013/12,8016589,
(주)네이블커뮤니케이션즈,153460,2014/12,7865791,7871070
(주)네이블커뮤니케이션즈,153460,2015/12,7726921,
