회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75
(주)HJ중공업,97230,11-Dec,0.34,0.55,0.55
(주)ST,11810,11-Dec,0.67,1.66,1.66
(주)강스템바이오텍,217730,15-Dec,-5.41,77777777.77,-5.41
(주)강원에너지,114190,11-Nov,393.9,77777777.77,393.9
(주)갤럭시아에스엠,11420,11-Dec,6.14,6.31,6.31
(주)골드앤에스,35290,11-Dec,1.25,1.13,1.13
(주)골드퍼시픽,38530,11-Dec,14.16,77777777.77,14.16
(주)광림,14200,11-Dec,4.55,77777777.77,4.55
(주)광무,29480,11-Dec,-2.59,-3.01,-3.01
(주)국보,1140,11-Dec,0.81,0.75,0.75
(주)국순당,43650,11-Dec,77777777.77,167.22,167.22
(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,-3.73
(주)까뮤이앤씨,13700,11-Dec,-14.28,77777777.77,-14.28
(주)나노,187790,14-Dec,77777777.77,77777777.77,11111111.11
(주)나노엔텍,39860,11-Dec,-8.71,-12.31,-12.31
(주)나이벡,138610,11-Dec,-3.91,77777777.77,-3.91
(주)남성,4270,11-Dec,1.37,-0.06,-0.06
(주)내츄럴엔도텍,168330,13-Dec,675.61,77777777.77,675.61
(주)네오리진,94860,11-Dec,1.82,1.61,1.61
(주)네이처셀,7390,11-Dec,-1.42,77777777.77,-1.42
(주)넥슨게임즈,225570,15-Dec,12.43,77777777.77,12.43
(주)넵튠,217270,15-Dec,-3.35,77777777.77,-3.35
(주)노블엠앤비,106520,12-Dec,13.46,11.2,11.2
(주)녹십자엠에스,142280,14-Dec,9.68,77777777.77,9.68
(주)녹원씨엔아이,65560,11-Dec,2.19,2.99,2.99
(주)누리플랜,69140,11-Dec,6.36,5.57,5.57
(주)뉴인텍,12340,11-Dec,1.14,0.99,0.99
(주)다날,64260,11-Dec,4.56,-0.33,-0.33
(주)다산네트웍스,39560,11-Dec,0.5,-1.06,-1.06
(주)다이나믹디자인,145210,15-Dec,5.86,2.92,2.92
(주)대구백화점,6370,11-Mar,77777777.77,77777777.77,11111111.11
(주)대성엘텍,25440,11-Dec,-0.73,-1.38,-1.38
(주)대양금속,9190,11-Dec,-1.83,-1.84,-1.84
(주)대창,12800,11-Dec,1.22,1.4,1.4
(주)대창솔루션,96350,11-Dec,2.11,77777777.77,2.11
(주)대한항공,3490,11-Dec,0.79,0.81,0.81
(주)대호에이엘,69460,11-Dec,2.75,2.82,2.82
(주)더 미동,161570,13-Dec,455.03,449.88,449.88
(주)더블유아이,73570,11-Dec,0.12,0.05,0.05
(주)덴티스,261200,17-Dec,-2.33,77777777.77,-2.33
(주)동방선기,99410,11-Dec,0.75,2,2.0
(주)동양,1520,11-Dec,0.18,-0.13,-0.13
(주)듀오백,73190,11-Dec,77777777.77,10.84,10.84
(주)드림어스컴퍼니,60570,11-Dec,-30.72,-30.53,-30.53
(주)디에스앤엘,141020,13-Dec,-20.48,-20.8,-20.8
(주)디엔에이링크,127120,11-Dec,3.27,77777777.77,3.27
(주)디엠에스,68790,11-Dec,1.54,0.83,0.83
(주)디지아이,43360,11-Dec,-4.28,77777777.77,-4.28
(주)룽투코리아,60240,11-Dec,-13.45,-18.61,-18.61
(주)마니커,27740,11-Dec,0.28,0.58,0.58
(주)매직마이크로,127160,15-Dec,1.59,-1.22,-1.22
(주)메지온,140410,12-Dec,77777777.77,77777777.77,11111111.11
(주)메타랩스,90370,11-Dec,1.37,1.44,1.44
(주)멕아이씨에스,58110,15-Dec,-0.74,77777777.77,-0.74
(주)멜파스,96640,11-Dec,37.14,77777777.77,37.14
(주)모아텍,33200,11-Dec,77777777.77,13.79,13.79
(주)미래아이앤지,7120,11-Dec,2.9,3.14,3.14
(주)바른손,18700,11-Mar,-1.25,-1.35,-1.35
(주)바른손이앤에이,35620,11-Dec,9.13,7.6,7.6
(주)바이오니아,64550,11-Dec,-0.97,-3.43,-3.43
(주)바이오톡스텍,86040,11-Dec,7.67,7.02,7.02
(주)백금티앤에이,46310,11-Dec,-0.71,0.32,0.32
(주)베노홀딩스,206400,14-Dec,-2043.63,77777777.77,-2043.63
(주)브이티지엠피,18290,11-Dec,-0.54,77777777.77,-0.54
(주)블루베리엔에프티,44480,11-Dec,77777777.77,-26.11,-26.11
(주)비덴트,121800,12-Jun,66.78,77777777.77,66.78
(주)비보존헬스케어,82800,11-Dec,-2.93,77777777.77,-2.93
(주)비비안,2070,11-Dec,14.74,7.35,7.35
(주)비엔지티,32790,11-Dec,-3.06,-3.65,-3.65
(주)비엘,142760,16-Dec,-89.65,77777777.77,-89.65
(주)비케이홀딩스,50090,11-Dec,-0.84,-0.76,-0.76
(주)삼표시멘트,38500,11-Dec,-0.71,-0.51,-0.51
(주)상보,27580,11-Dec,3.65,77777777.77,3.65
(주)상지카일룸,42940,11-Dec,-3.08,77777777.77,-3.08
(주)서부티엔디,6730,11-Dec,0.88,0.88,0.88
(주)서울리거,43710,11-Dec,77777777.77,77777777.77,11111111.11
(주)서울제약,18680,11-Dec,2.73,77777777.77,2.73
(주)서원,21050,11-Dec,2.33,0.95,0.95
(주)성안,11300,11-Dec,1.81,2.1,2.1
(주)세동,53060,11-Dec,0.38,0.6,0.6
(주)세토피아,222810,15-Dec,77777777.77,77777777.77,11111111.11
(주)센트럴인사이트,12600,11-Dec,-15.85,-15.07,-15.07
(주)셀루메드,49180,11-Dec,-3.95,-5.37,-5.37
(주)셀리버리,268600,18-Dec,-2.29,-2.29,-2.29
(주)셀바스에이아이,108860,11-Dec,3.84,7.36,7.36
(주)셀바스헬스케어,208370,14-Dec,6.17,6.17,6.17
(주)셀피글로벌,68940,11-Dec,20.86,20.86,20.86
(주)손오공,66910,11-Dec,1.62,1.07,1.07
(주)솔고바이오메디칼,43100,11-Dec,-0.41,-2.22,-2.22
(주)솔본,35610,11-Dec,0.01,0.01,0.01
(주)스카이문스테크놀로지,33790,11-Dec,-2052578.47,-2052578,-2052578.0
(주)스킨앤스킨,159910,12-Dec,83.42,83.42,83.42
(주)스튜디오산타클로스엔터테인먼트,204630,14-Dec,77777777.77,77777777.77,11111111.11
(주)시너지이노베이션,48870,11-Dec,0.55,-0.98,-0.98
(주)시티랩스,139050,11-Dec,8.98,8.98,8.98
(주)신성이엔지,11930,11-Dec,-1.67,-1.67,-1.67
(주)쌍방울,102280,11-Dec,3.92,4.38,4.38
(주)썸에이지,208640,14-Dec,-1.82,-1.82,-1.82
(주)쎌마테라퓨틱스,15540,11-Dec,-13.07,-6.83,-6.83
(주)씨씨에스충북방송,66790,11-Dec,-0.11,0.71,0.71
(주)씨아이테크,4920,11-Dec,-37.97,-37.97,-37.97
(주)씨에스,65770,11-Dec,-2.59,-1.31,-1.31
(주)씨에스에이코스믹,83660,11-Dec,-1.86,-2.27,-2.27
(주)씨엔플러스,115530,11-Dec,28.32,31.87,31.87
(주)씨티씨바이오,60590,11-Dec,0.26,0.27,0.27
(주)아난티,25980,11-Dec,-6.29,-6.29,-6.29
(주)아리온테크놀로지,58220,11-Dec,21.5,21.5,21.5
(주)아미노로직스,74430,11-Dec,0.73,-10.38,-10.38
(주)아센디오,12170,11-Dec,13.19,13.19,13.19
(주)아이에스이커머스,69920,11-Dec,-2.5,0,0.0
(주)아이에이,38880,11-Dec,-9.2,-9.2,-9.2
(주)아이엠,101390,11-Dec,152.1,4.97,4.97
(주)아이오케이컴퍼니,78860,11-Dec,2.71,2.71,2.71
(주)아이윈플러스,123010,16-Dec,0.06,0.06,0.06
(주)아이컴포넌트,59100,11-Dec,1.11,1.11,1.11
(주)아이톡시,52770,11-Dec,-4.31,-4.31,-4.31
(주)아이티엑스에이아이,99520,11-Dec,-0.6,-0.6,-0.6
(주)알테오젠,196170,14-Dec,6.28,7.41,7.41
(주)알톤스포츠,123750,11-Dec,2.16,2.54,2.54
(주)알파홀딩스,117670,11-Dec,25.8,25.8,25.8
(주)앤씨앤,92600,11-Dec,48.17,48.17,48.17
(주)에스디시스템,121890,11-Dec,77777777.77,77777777.77,11111111.11
(주)에스앤더블류,103230,11-Dec,0.91,0.91,0.91
(주)에스엘바이오닉스,214310,15-Dec,25.57,25.56,25.56
(주)에스엠라이프디자인그룹,63440,11-Dec,5.68,5.68,5.68
(주)에스엠벡셀,10580,11-Dec,-0.11,-0.11,-0.11
(주)에스엠컬처앤콘텐츠,48550,11-Dec,7.88,2.4,2.4
(주)에스지세계물산,4060,11-Dec,7.15,4.4,4.4
(주)에스티큐브,52020,11-Dec,-141.6,-116.44,-116.44
(주)에이디칩스,54630,11-Dec,43.56,40,40.0
(주)에이루트,96690,11-Dec,73.37,73.37,73.37
(주)에이엔피,15260,11-Dec,-1.52,0.92,0.92
(주)에이프로젠헬스케어앤게임즈,109960,11-Dec,-21.05,-21.05,-21.05
(주)에프알텍,73540,11-Dec,77777777.77,77777777.77,11111111.11
(주)에프앤리퍼블릭,64090,11-Dec,-0.56,-1.37,-1.37
(주)엑세스바이오인코퍼레이션,950130,13-Dec,210.67,201.97,201.97
(주)엔에스엔,31860,11-Dec,-3.23,-0.99,-0.99
(주)엔케이,85310,11-Dec,1.29,1,1.0
(주)엘아이에스,138690,11-Dec,23.37,23.37,23.37
(주)엘앤에프,66970,11-Dec,1.63,1.88,1.88
(주)엘에스네트웍스,680,11-Dec,0.78,0.37,0.37
(주)엠피대산,65150,11-Dec,6.34,5.01,5.01
(주)영풍,670,11-Dec,24.01,22.44,22.44
(주)예선테크,250930,16-Dec,-3.62,-3.62,-3.62
(주)오리엔탈정공,14940,11-Dec,-3.65,-3.54,-3.54
(주)오리엔트바이오,2630,11-Mar,2.88,2.17,2.17
(주)오리엔트정공,65500,11-Dec,-4.65,-4.65,-4.65
(주)오스코텍,39200,11-Dec,0.18,0.55,0.55
(주)와이지플러스,37270,11-Dec,21.38,5.6,5.6
(주)와이투솔루션,11690,11-Dec,-0.56,-0.67,-0.67
(주)우리기술,32820,11-Dec,2.42,1.32,1.32
(주)우진,105840,11-Dec,53.41,50.18,50.18
(주)웅진,16880,11-Dec,0.97,-0.73,-0.73
(주)원익,32940,11-Dec,1,0.96,0.96
(주)월덱스,101160,11-Dec,5.22,3.73,3.73
(주)웨이브일렉트로닉스,95270,11-Dec,-26.69,-15.27,-15.27
(주)위메이드맥스,101730,11-Dec,24.29,79.27,79.27
(주)윈팩,97800,13-Dec,-6.05,-6.05,-6.05
(주)유니켐,11330,11-Dec,-7.33,-7.33,-7.33
(주)유신,54930,11-Dec,-12.47,-12.47,-12.47
(주)유씨아이,38340,11-Dec,0.12,-0.38,-0.38
(주)유아이디,69330,11-Dec,9.54,9.54,9.54
(주)유진로봇,56080,11-Dec,1.04,1.04,1.04
(주)유테크,178780,15-Dec,3.44,3.44,3.44
(주)이건홀딩스,39020,11-Dec,0.33,0.69,0.69
(주)이노와이어리스,73490,11-Dec,29.87,43.06,43.06
(주)이수앱지스,86890,11-Dec,-173.62,-173.62,-173.62
(주)이수화학,5950,11-Dec,4.42,2.56,2.56
(주)이스타코,15020,11-Dec,-0.68,-0.68,-0.68
(주)이스트소프트,47560,11-Dec,37.22,21.85,21.85
(주)이아이디,93230,11-Dec,-57.39,-26.29,-26.29
(주)이엔코퍼레이션,66980,11-Dec,-2.29,-2.42,-2.42
(주)이엠앤아이,83470,11-Dec,-0.56,0.11,0.11
(주)이월드,84680,11-Dec,-0.26,-0.26,-0.26
(주)인디에프,14990,11-Dec,-3.15,-3.54,-3.54
(주)인바이오젠,101140,11-Dec,4.62,4.62,4.62
(주)인스코비,6490,11-Dec,-35.46,-35.46,-35.46
(주)인터플렉스,51370,11-Dec,9.73,9.73,9.73
(주)인텍플러스,64290,11-Dec,16.83,16.83,16.83
(주)인트로메딕,150840,13-Dec,23.1,22.79,22.79
(주)인트론바이오테크놀로지,48530,11-Dec,0.65,0.65,0.65
(주)잉크테크,49550,11-Dec,-3.64,-3.46,-3.46
(주)자비스,254120,16-Dec,-0.67,-0.67,-0.67
(주)자연과환경,43910,11-Dec,-7.94,-7.76,-7.76
(주)제넥신,95700,11-Dec,-27.59,-28.26,-28.26
(주)제넨바이오,72520,11-Dec,1.97,2.09,2.09
(주)제로투세븐,159580,13-Dec,6.55,15.88,15.88
(주)제이웨이,58420,11-Dec,-34.74,-34.74,-34.74
(주)제주반도체,80220,11-Dec,465.15,433.55,433.55
(주)젬백스&카엘,82270,11-Dec,-1.12,77777777.77,-1.12
(주)중앙디앤엠,51980,11-Dec,23.4,17.07,17.07
(주)지어소프트,51160,11-Dec,-56.46,-54.28,-54.28
(주)진매트릭스,109820,11-Dec,-6.62,-4.46,-4.46
(주)초록뱀미디어,47820,11-Dec,48.2,28.58,28.58
(주)초록뱀이앤엠,131100,11-Dec,5.77,5.77,5.77
(주)초록뱀컴퍼니,52300,11-Dec,41.64,-38.52,-38.52
(주)초록뱀헬스케어,118000,11-Dec,-1.63,-1.63,-1.63
(주)카프로,6380,11-Dec,41.07,41.07,41.07
(주)케이씨씨건설,21320,11-Dec,5.06,5.09,5.09
(주)케이에스피,73010,11-Dec,35.52,35.52,35.52
(주)케이엠더블유,32500,11-Dec,-1.4,-2.13,-2.13
(주)케이이씨,92220,11-Dec,-1.88,-1.92,-1.92
(주)케이프,64820,11-Dec,3.52,3.52,3.52
(주)케이피엠테크,42040,11-Dec,-1.02,-0.98,-0.98
(주)켐온,217600,15-Dec,-1.31,-1.31,-1.31
(주)켐트로닉스,89010,11-Dec,5.13,4.37,4.37
(주)코데즈컴바인,47770,11-Dec,3.99,3.74,3.74
(주)코디,80530,11-Dec,4.85,4.85,4.85
(주)코디엠,224060,15-Dec,6.69,6.69,6.69
(주)코리아나화장품,27050,11-Dec,0.11,-0.28,-0.28
(주)코미팜,41960,11-Dec,0.41,0.34,0.34
(주)코세스,89890,11-Dec,22.5,22.5,22.5
(주)코센,9730,11-Dec,-9.21,-9.21,-9.21
(주)코스나인,82660,11-Dec,-4.57,-9.06,-9.06
(주)코썬바이오,204990,16-Dec,0,0,0.0
(주)코아스,71950,11-Dec,1.68,1.68,1.68
(주)코아시아,45970,11-Dec,77777777.77,1.18,1.18
(주)코아시아옵틱스,196450,14-Dec,77777777.77,77777777.77,11111111.11
(주)코오롱,2020,11-Dec,1.75,6.11,6.11
(주)코원플레이,56000,11-Dec,-20.49,-7.81,-7.81
(주)코이즈,121850,12-Dec,20.58,15.21,15.21
(주)큐로,15590,11-Dec,-2.71,-2.63,-2.63
(주)큐로컴,40350,11-Dec,0.2,-2.07,-2.07
(주)큐로홀딩스,51780,11-Dec,0.48,-0.57,-0.57
(주)클래시스,214150,15-Dec,-1.32,-1.32,-1.32
(주)텔콘알에프제약,200230,14-Dec,149.64,139.45,139.45
(주)토탈소프트뱅크,45340,11-Dec,-47.57,-47.57,-47.57
(주)트루윈,105550,14-Dec,3.44,3.44,3.44
(주)특수건설,26150,11-Dec,-3.35,-3.35,-3.35
(주)티사이언티픽,57680,11-Dec,-3.97,-3.97,-3.97
(주)티에스넥스젠,43220,11-Dec,-3.12,-3.12,-3.12
(주)티에이치엔,19180,11-Dec,5.1,4.15,4.15
(주)티웨이홀딩스,4870,11-Dec,-1.95,-1.95,-1.95
(주)파나진,46210,11-Dec,0.41,-0.23,-0.23
(주)파루,43200,11-Dec,-9.32,-8.8,-8.8
(주)파인디앤씨,49120,11-Dec,-1.82,-1.96,-1.96
(주)판타지오,32800,11-Dec,77777777.77,77777777.77,11111111.11
(주)팬스타엔터프라이즈,54300,11-Dec,-2.1,-2.15,-2.15
(주)팬엔터테인먼트,68050,11-Dec,5.22,1.84,1.84
(주)팬젠,222110,16-Dec,-38.48,-38.48,-38.48
(주)퓨쳐켐,220100,16-Dec,-5.22,-5.22,-5.22
(주)플래스크,41590,11-Dec,1.54,1.54,1.54
(주)플레이그램,9810,11-Dec,-2.11,26.12,26.12
(주)플레이위드,23770,11-Dec,-5.11,-7.92,-7.92
(주)피에스엠씨,24850,11-Dec,-7.63,-5.98,-5.98
(주)피에이치씨,57880,11-Dec,1.82,0.62,0.62
(주)하이소닉,106080,11-Dec,21.03,7.63,7.63
(주)하이스틸,71090,11-Dec,1.56,1.56,1.56
(주)하이트론씨스템즈,19490,11-Dec,-4.71,-6.23,-6.23
(주)한국전자홀딩스,6200,11-Dec,-0.02,-0.35,-0.35
(주)한국코퍼레이션,50540,11-Dec,6.52,4.75,4.75
(주)한국테크놀로지,53590,11-Dec,-388,-403.01,-403.01
(주)한국특강,7280,11-Dec,1.29,1.29,1.29
(주)한라,14790,11-Dec,943.62,1.06,1.06
(주)한빛소프트,47080,11-Dec,-11.41,-9.71,-9.71
(주)한일진공,123840,11-Dec,-0.93,-0.93,-0.93
(주)한진,2320,11-Dec,0.97,1,1.0
(주)한진중공업홀딩스,3480,11-Dec,11.41,11.47,11.47
(주)한창바이오텍,43090,11-Dec,0.03,-0.32,-0.32
(주)한컴위드,54920,11-Dec,8.11,7.9,7.9
(주)한탑,2680,11-Dec,0.14,0,0.0
(주)형지아이앤씨,11080,11-Dec,-10.34,-10.34,-10.34
(주)형지엘리트,93240,11-Jun,8.53,6.49,6.49
(주)홈센타홀딩스,60560,11-Dec,10.87,5.93,5.93
(주)휴니드테크놀러지스,5870,11-Dec,0.15504898,77777777.77,0.15504898
(주)휴먼엔,32860,11-Dec,1.960892889,77777777.77,1.960892889
KG스틸(주),16380,11-Dec,0.046898187,0.104572817,0.104572817
OCI(주),10060,11-Dec,32.3429309,15.29665975,15.29665975
ST엔진(주),77970,11-Dec,3.566535723,2.492438285,2.492438285
ST중공업(주),71970,11-Dec,1.329690966,1.349278875,1.349278875
감성코퍼레이션(주),36620,11-Dec,-1.352309966,77777777.77,-1.352309966
